Uniprot_arabadopsis	Uniprot_pombe	AlphaFold_arabadopsis	AlphaFold_pombe	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178UQA6	P36591	AF-A0A178UQA6-F1-model_v3	AF-P36591-F1-model_v3	1.5e-18	82.4	7.34e-09	441.64	4.577E-17	676	platinum
A0A178W0K0	Q9P7V3	AF-A0A178W0K0-F1-model_v3	AF-Q9P7V3-F1-model_v3	1.2e-24	97.1	0.00e+00	525.71	9.911E-11	596	platinum
A0A178W3G2	O43051	AF-A0A178W3G2-F1-model_v3	AF-O43051-F1-model_v3	7.5e-18	86.3	4.27e-14	1644.85	4.275E-35	1894	platinum
A0A1I9LQ21	Q8WZK2	AF-A0A1I9LQ21-F1-model_v3	AF-Q8WZK2-F1-model_v3	4.7e-173	527.7	0.00e+00	2351.58	1.103E-65	3589	platinum
A0A1P8AMK1	O42868	AF-A0A1P8AMK1-F1-model_v3	AF-O42868-F1-model_v3	1.2e-59	183.7	0.00e+00	546.04	6.375E-28	1059	platinum
A0A1P8AP94	Q9US53	AF-A0A1P8AP94-F1-model_v3	AF-Q9US53-F1-model_v3	5.1e-92	312.4	NA	NA	NA	NA	silver
A0A1P8ASM6	O94702	AF-A0A1P8ASM6-F1-model_v3	AF-O94702-F1-model_v3	6.0e-37	147.5	0.00e+00	1645.32	6.649E-45	2439	platinum
A0A1P8ASY1	Q9URU2	AF-A0A1P8ASY1-F1-model_v3	AF-Q9URU2-F1-model_v3	6.9e-164	525.8	2.33e-15	2652.07	NA	NA	gold
A0A1P8AVE9	O94653	AF-A0A1P8AVE9-F1-model_v3	AF-O94653-F1-model_v3	2.6e-227	680.2	0.00e+00	2471.19	0.000E+00	4644	platinum
A0A1P8AVS2	Q9USP0	AF-A0A1P8AVS2-F1-model_v3	AF-Q9USP0-F1-model_v3	5.4e-66	211.8	NA	NA	5.354E-32	1418	gold
A0A1P8AWF9	P79051	AF-A0A1P8AWF9-F1-model_v3	AF-P79051-F1-model_v3	4.0e-161	490.3	9.08e-11	1700.53	1.732E-73	3020	platinum
A0A1P8B0U4	Q10209	AF-A0A1P8B0U4-F1-model_v3	AF-Q10209-F1-model_v3	5.4e-33	124.4	3.44e-10	751.08	NA	NA	gold
A0A1P8B4E4	O60055	AF-A0A1P8B4E4-F1-model_v3	AF-O60055-F1-model_v3	6.8e-89	322.8	0.00e+00	5164.44	2.208E-75	4567	platinum
A0A1P8B4Y6	Q9UUI3	AF-A0A1P8B4Y6-F1-model_v3	AF-Q9UUI3-F1-model_v3	8.9e-87	282.0	5.57e-04	915.23	2.308E-33	1358	platinum
A0A1P8B6F6	Q09329	AF-A0A1P8B6F6-F1-model_v3	AF-Q09329-F1-model_v3	6.7e-34	126.7	1.29e-04	464.29	2.372E-14	604	platinum
A0A1P8B760	Q9URY4	AF-A0A1P8B760-F1-model_v3	AF-Q9URY4-F1-model_v3	1.0e-92	292.0	0.00e+00	1232.25	1.117E-48	2169	platinum
A0A1P8B9R0	O13870	AF-A0A1P8B9R0-F1-model_v3	AF-O13870-F1-model_v3	4.5e-54	196.8	5.05e-09	1037.41	5.452E-31	1460	platinum
A0A1P8BBA5	O13983	AF-A0A1P8BBA5-F1-model_v3	AF-O13983-F1-model_v3	1.6e-123	404.8	0.00e+00	2181.54	7.314E-74	3488	platinum
