Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178U7J2	Q6R982	AF-A0A178U7J2-F1-model_v3	AF-Q6R982-F1-model_v3	3.1e-133	387.1	NA	NA	NA	NA	silver
A0A178US29	C4J8S9	AF-A0A178US29-F1-model_v3	AF-C4J8S9-F1-model_v3	8.4e-153	465.7	0.00e+00	1820.77	NA	NA	gold
A0A178UWL0	B6TRN2	AF-A0A178UWL0-F1-model_v3	AF-B6TRN2-F1-model_v3	9.5e-159	462.2	4.84e-14	1117.40	9.074E-58	2542	platinum
A0A178UXH8	A0A1D6NAT5	AF-A0A178UXH8-F1-model_v3	AF-A0A1D6NAT5-F1-model_v3	3.1e-230	636.0	0.00e+00	1129.14	7.200E-72	2900	platinum
A0A178UYZ3	A0A1D6GWV8	AF-A0A178UYZ3-F1-model_v3	AF-A0A1D6GWV8-F1-model_v3	1.7e-10	64.3	4.46e-02	585.43	NA	NA	gold
A0A178VBJ0	A0A1D6IPY4	AF-A0A178VBJ0-F1-model_v3	AF-A0A1D6IPY4-F1-model_v3	4.5e-163	482.3	2.83e-13	1377.32	1.154E-45	2462	platinum
A0A178VI87	A0A1D6EW74	AF-A0A178VI87-F1-model_v3	AF-A0A1D6EW74-F1-model_v3	4.9e-202	570.9	1.11e-16	1121.50	3.013E-66	2663	platinum
A0A178VPF6	B4FM95	AF-A0A178VPF6-F1-model_v3	AF-B4FM95-F1-model_v3	7.5e-106	314.7	3.83e-10	661.43	7.978E-24	1303	platinum
A0A178VR03	A0A1D6I4N4	AF-A0A178VR03-F1-model_v3	AF-A0A1D6I4N4-F1-model_v3	1.1e-253	708.4	0.00e+00	1368.34	2.667E-71	3194	platinum
A0A178VY62	A0A1D6Q4U1	AF-A0A178VY62-F1-model_v3	AF-A0A1D6Q4U1-F1-model_v3	0.0e+00	1510.0	2.54e-12	3710.35	0.000E+00	7806	platinum
A0A178W0K0	B4FNY2	AF-A0A178W0K0-F1-model_v3	AF-B4FNY2-F1-model_v3	1.1e-108	317.8	0.00e+00	704.93	7.461E-25	1319	platinum
A0A178W3G2	A0A1D6KWQ3	AF-A0A178W3G2-F1-model_v3	AF-A0A1D6KWQ3-F1-model_v3	1.5e-239	697.6	2.89e-12	1980.63	5.616E-60	3212	platinum
A0A178W5Y7	C4J8B9	AF-A0A178W5Y7-F1-model_v3	AF-C4J8B9-F1-model_v3	1.2e-04	37.4	1.30e-04	137.54	NA	NA	gold
A0A178W7H0	B6T591	AF-A0A178W7H0-F1-model_v3	AF-B6T591-F1-model_v3	2.1e-36	119.8	0.00e+00	304.51	3.145E-12	467	platinum
A0A178WGK2	A0A1D6QSC1	AF-A0A178WGK2-F1-model_v3	AF-A0A1D6QSC1-F1-model_v3	1.8e-150	439.1	0.00e+00	1099.23	8.160E-39	2026	platinum
A0A1I9LLC5	A0A1D6GSB2	AF-A0A1I9LLC5-F1-model_v3	AF-A0A1D6GSB2-F1-model_v3	7.2e-228	684.9	1.87e-08	2160.45	2.873E-67	3237	platinum
A0A1I9LLJ3	A0A1D6JC75	AF-A0A1I9LLJ3-F1-model_v3	AF-A0A1D6JC75-F1-model_v3	2.3e-166	523.1	1.96e-10	1883.96	NA	NA	gold
A0A1I9LLT6	A0A1D6I283	AF-A0A1I9LLT6-F1-model_v3	AF-A0A1D6I283-F1-model_v3	4.1e-08	48.9	2.80e-01	121.98	NA	NA	gold
A0A1I9LM22	A0A1D6N3X2	AF-A0A1I9LM22-F1-model_v3	AF-A0A1D6N3X2-F1-model_v3	3.1e-165	491.5	0.00e+00	1521.15	2.890E-72	3033	platinum
A0A1I9LM38	A0A1D6PYB3	AF-A0A1I9LM38-F1-model_v3	AF-A0A1D6PYB3-F1-model_v3	3.6e-71	226.9	1.13e-05	488.82	2.040E-20	836	platinum
A0A1I9LM77	A0A096SCJ4	AF-A0A1I9LM77-F1-model_v3	AF-A0A096SCJ4-F1-model_v3	1.4e-119	357.5	1.26e-05	797.46	2.643E-41	1743	platinum
A0A1I9LMV6	A0A1D6FD97	AF-A0A1I9LMV6-F1-model_v3	AF-A0A1D6FD97-F1-model_v3	5.9e-92	273.5	0.00e+00	653.46	8.653E-35	1501	platinum
A0A1I9LN01	A0A1D6N0V2	AF-A0A1I9LN01-F1-model_v3	AF-A0A1D6N0V2-F1-model_v3	4.6e-196	559.3	0.00e+00	1379.58	3.657E-72	2944	platinum
A0A1I9LN82	A0A1D6LIX2	AF-A0A1I9LN82-F1-model_v3	AF-A0A1D6LIX2-F1-model_v3	2.0e-195	602.8	NA	NA	1.520E-66	2972	gold
A0A1I9LN87	A0A1D6M1W4	AF-A0A1I9LN87-F1-model_v3	AF-A0A1D6M1W4-F1-model_v3	3.2e-241	727.6	1.11e-16	2510.29	1.653E-66	4318	platinum
A0A1I9LNB6	A0A1D6K161	AF-A0A1I9LNB6-F1-model_v3	AF-A0A1D6K161-F1-model_v3	1.5e-146	416.0	0.00e+00	753.01	1.516E-29	1611	platinum
A0A1I9LNY2	A0A1D6KE55	AF-A0A1I9LNY2-F1-model_v3	AF-A0A1D6KE55-F1-model_v3	4.1e-15	72.0	NA	NA	NA	NA	silver
A0A1I9LP47	K7VF09	AF-A0A1I9LP47-F1-model_v3	AF-K7VF09-F1-model_v3	1.0e-37	153.3	3.76e-02	1155.83	1.415E-24	1037	platinum
A0A1I9LPE3	A0A1D6F4U5	AF-A0A1I9LPE3-F1-model_v3	AF-A0A1D6F4U5-F1-model_v3	0.0e+00	1059.3	0.00e+00	2392.33	0.000E+00	5744	platinum
A0A1I9LPW2	A0A1D6KTE5	AF-A0A1I9LPW2-F1-model_v3	AF-A0A1D6KTE5-F1-model_v3	0.0e+00	1182.9	0.00e+00	3013.69	2.033E-82	5430	platinum
A0A1I9LQ21	A0A1D6HBL0	AF-A0A1I9LQ21-F1-model_v3	AF-A0A1D6HBL0-F1-model_v3	0.0e+00	1303.9	0.00e+00	2656.98	0.000E+00	5784	platinum
A0A1I9LQA1	B4FCD3	AF-A0A1I9LQA1-F1-model_v3	AF-B4FCD3-F1-model_v3	3.3e-63	194.5	1.22e-15	508.02	1.004E-14	683	platinum
A0A1I9LQC2	C0HI10	AF-A0A1I9LQC2-F1-model_v3	AF-C0HI10-F1-model_v3	1.8e-244	694.5	0.00e+00	1714.19	4.336E-85	3607	platinum
A0A1I9LQG9	A0A1D6JWC4	AF-A0A1I9LQG9-F1-model_v3	AF-A0A1D6JWC4-F1-model_v3	2.7e-73	221.5	3.35e-14	419.87	4.992E-25	1110	platinum
A0A1I9LQY7	B4FRT5	AF-A0A1I9LQY7-F1-model_v3	AF-B4FRT5-F1-model_v3	1.4e-153	448.4	0.00e+00	1112.65	2.198E-47	2327	platinum
A0A1I9LR23	C0HEA8	AF-A0A1I9LR23-F1-model_v3	AF-C0HEA8-F1-model_v3	4.1e-254	701.0	0.00e+00	1275.71	3.410E-81	3404	platinum
A0A1I9LR82	B4FG21	AF-A0A1I9LR82-F1-model_v3	AF-B4FG21-F1-model_v3	3.2e-56	184.1	1.37e-07	542.89	6.570E-19	770	platinum
A0A1I9LR96	K7VKT9	AF-A0A1I9LR96-F1-model_v3	AF-K7VKT9-F1-model_v3	2.1e-33	120.9	3.24e-06	381.22	1.941E-10	411	platinum
A0A1I9LRA7	A0A1D6JQ24	AF-A0A1I9LRA7-F1-model_v3	AF-A0A1D6JQ24-F1-model_v3	6.6e-66	206.1	NA	NA	2.661E-20	796	gold
A0A1I9LRC2	B6UB08	AF-A0A1I9LRC2-F1-model_v3	AF-B6UB08-F1-model_v3	3.2e-42	144.1	2.68e-04	296.85	6.241E-14	592	platinum
A0A1I9LS40	A0A1D6JQJ7	AF-A0A1I9LS40-F1-model_v3	AF-A0A1D6JQJ7-F1-model_v3	1.2e-72	235.0	NA	NA	NA	NA	silver
A0A1I9LSL4	B4FEL6	AF-A0A1I9LSL4-F1-model_v3	AF-B4FEL6-F1-model_v3	8.2e-99	307.8	1.11e-16	1033.57	2.950E-49	2047	platinum
A0A1I9LSN1	A0A1D6JD86	AF-A0A1I9LSN1-F1-model_v3	AF-A0A1D6JD86-F1-model_v3	9.5e-16	67.4	1.23e-05	201.26	NA	NA	gold
A0A1I9LT08	A0A1D6KU39	AF-A0A1I9LT08-F1-model_v3	AF-A0A1D6KU39-F1-model_v3	4.6e-17	79.7	NA	NA	NA	NA	silver
A0A1I9LT82	A0A1D6GWN0	AF-A0A1I9LT82-F1-model_v3	AF-A0A1D6GWN0-F1-model_v3	6.2e-138	401.4	0.00e+00	1118.43	7.638E-40	2099	platinum
A0A1I9LTS6	A0A1D6EMY1	AF-A0A1I9LTS6-F1-model_v3	AF-A0A1D6EMY1-F1-model_v3	0.0e+00	1429.8	0.00e+00	2954.16	0.000E+00	7645	platinum
A0A1P8AM23	A0A1D6F293	AF-A0A1P8AM23-F1-model_v3	AF-A0A1D6F293-F1-model_v3	2.5e-179	528.5	0.00e+00	1635.91	3.105E-71	2974	platinum
A0A1P8AMK1	A0A1D6MYY7	AF-A0A1P8AMK1-F1-model_v3	AF-A0A1D6MYY7-F1-model_v3	3.1e-103	296.6	0.00e+00	547.03	2.764E-34	1305	platinum
A0A1P8AMV0	K7U7B3	AF-A0A1P8AMV0-F1-model_v3	AF-K7U7B3-F1-model_v3	7.6e-64	211.8	0.00e+00	848.55	2.805E-28	1349	platinum
A0A1P8ANP5	A0A1D6L8W1	AF-A0A1P8ANP5-F1-model_v3	AF-A0A1D6L8W1-F1-model_v3	4.5e-35	143.3	4.47e-04	1102.35	6.252E-24	867	platinum
A0A1P8AP43	A0A1D6MVI3	AF-A0A1P8AP43-F1-model_v3	AF-A0A1D6MVI3-F1-model_v3	2.4e-30	128.3	8.88e-16	1945.55	1.179E-50	3307	platinum
A0A1P8AP72	B4G236	AF-A0A1P8AP72-F1-model_v3	AF-B4G236-F1-model_v3	4.4e-157	454.1	1.11e-16	1117.36	1.925E-47	2233	platinum
A0A1P8AP81	B4FF15	AF-A0A1P8AP81-F1-model_v3	AF-B4FF15-F1-model_v3	7.2e-56	172.6	NA	NA	1.710E-11	582	gold
A0A1P8AP94	A0A1D6GXC6	AF-A0A1P8AP94-F1-model_v3	AF-A0A1D6GXC6-F1-model_v3	0.0e+00	1058.1	5.69e-11	3163.80	0.000E+00	5771	platinum
A0A1P8AP99	A0A1D6MWB7	AF-A0A1P8AP99-F1-model_v3	AF-A0A1D6MWB7-F1-model_v3	8.8e-163	473.8	0.00e+00	1227.86	4.342E-49	2400	platinum
A0A1P8APD7	A0A1D6Q5R4	AF-A0A1P8APD7-F1-model_v3	AF-A0A1D6Q5R4-F1-model_v3	9.8e-14	65.1	3.87e-05	206.41	NA	NA	gold
A0A1P8APQ0	A0A1D6KAV4	AF-A0A1P8APQ0-F1-model_v3	AF-A0A1D6KAV4-F1-model_v3	1.6e-120	356.3	2.01e-11	698.23	5.145E-41	1706	platinum
A0A1P8APV0	A0A1D6KR74	AF-A0A1P8APV0-F1-model_v3	AF-A0A1D6KR74-F1-model_v3	1.5e-142	436.8	4.62e-13	1361.04	3.264E-47	2578	platinum
A0A1P8APW5	A0A1D6PQ72	AF-A0A1P8APW5-F1-model_v3	AF-A0A1D6PQ72-F1-model_v3	8.8e-105	306.2	0.00e+00	741.30	7.968E-27	1456	platinum
A0A1P8AQE4	A0A1D6IKQ2	AF-A0A1P8AQE4-F1-model_v3	AF-A0A1D6IKQ2-F1-model_v3	2.2e-279	784.6	0.00e+00	1705.01	3.095E-88	3770	platinum
A0A1P8AQJ5	A0A1D6DZE5	AF-A0A1P8AQJ5-F1-model_v3	AF-A0A1D6DZE5-F1-model_v3	2.1e-68	215.3	NA	NA	2.674E-21	981	gold
A0A1P8AQT5	A0A1D6NLZ9	AF-A0A1P8AQT5-F1-model_v3	AF-A0A1D6NLZ9-F1-model_v3	6.5e-124	352.4	NA	NA	3.848E-43	1651	gold
A0A1P8AQU0	B4FM01	AF-A0A1P8AQU0-F1-model_v3	AF-B4FM01-F1-model_v3	1.7e-88	261.9	0.00e+00	618.35	5.250E-29	1210	platinum
A0A1P8ARD0	A0A1D6N6Z3	AF-A0A1P8ARD0-F1-model_v3	AF-A0A1D6N6Z3-F1-model_v3	2.4e-04	39.7	2.31e-02	163.25	NA	NA	gold
A0A1P8ARI2	A0A1D6NTA3	AF-A0A1P8ARI2-F1-model_v3	AF-A0A1D6NTA3-F1-model_v3	3.1e-112	334.7	9.24e-09	747.54	NA	NA	gold
A0A1P8ASB9	A0A1D6K1R2	AF-A0A1P8ASB9-F1-model_v3	AF-A0A1D6K1R2-F1-model_v3	0.0e+00	963.0	0.00e+00	2449.14	0.000E+00	5724	platinum
A0A1P8ASE3	K7VRD6	AF-A0A1P8ASE3-F1-model_v3	AF-K7VRD6-F1-model_v3	1.0e-84	255.4	NA	NA	4.728E-32	1288	gold
A0A1P8ASM6	B7ZZ74	AF-A0A1P8ASM6-F1-model_v3	AF-B7ZZ74-F1-model_v3	1.4e-315	891.0	0.00e+00	2270.27	3.594E-95	5117	platinum
A0A1P8ASU7	B6TQW3	AF-A0A1P8ASU7-F1-model_v3	AF-B6TQW3-F1-model_v3	3.5e-42	144.1	6.58e-07	417.91	3.175E-18	758	platinum
A0A1P8ASX9	A0A1D6DU37	AF-A0A1P8ASX9-F1-model_v3	AF-A0A1D6DU37-F1-model_v3	1.6e-159	466.8	5.64e-10	1072.66	6.804E-53	2473	platinum
A0A1P8ASY1	A0A1D6E1M0	AF-A0A1P8ASY1-F1-model_v3	AF-A0A1D6E1M0-F1-model_v3	0.0e+00	1191.8	0.00e+00	2917.50	NA	NA	gold
A0A1P8AT95	A0A1D6I7H4	AF-A0A1P8AT95-F1-model_v3	AF-A0A1D6I7H4-F1-model_v3	0.0e+00	1774.2	3.33e-16	4858.93	NA	NA	gold
A0A1P8ATB1	A0A1D6HLN0	AF-A0A1P8ATB1-F1-model_v3	AF-A0A1D6HLN0-F1-model_v3	1.9e-63	201.1	0.00e+00	590.88	9.426E-28	1070	platinum
A0A1P8ATM6	A0A1D6KXS3	AF-A0A1P8ATM6-F1-model_v3	AF-A0A1D6KXS3-F1-model_v3	6.8e-231	696.0	0.00e+00	2740.45	9.989E-58	3958	platinum
A0A1P8ATN7	A0A1D6LLT2	AF-A0A1P8ATN7-F1-model_v3	AF-A0A1D6LLT2-F1-model_v3	0.0e+00	1089.3	0.00e+00	2137.98	0.000E+00	5338	platinum
A0A1P8AU29	A0A1D6J908	AF-A0A1P8AU29-F1-model_v3	AF-A0A1D6J908-F1-model_v3	1.4e-216	629.0	1.11e-16	1575.29	1.869E-60	3198	platinum
A0A1P8AU61	A0A1D6IU51	AF-A0A1P8AU61-F1-model_v3	AF-A0A1D6IU51-F1-model_v3	1.9e-172	504.2	0.00e+00	1390.69	3.004E-49	2672	platinum
A0A1P8AUR3	B4FY91	AF-A0A1P8AUR3-F1-model_v3	AF-B4FY91-F1-model_v3	1.8e-122	354.8	0.00e+00	777.71	1.815E-43	1727	platinum
A0A1P8AV25	A0A1D6IAW0	AF-A0A1P8AV25-F1-model_v3	AF-A0A1D6IAW0-F1-model_v3	0.0e+00	963.0	2.46e-13	2546.99	0.000E+00	5507	platinum
A0A1P8AVE9	A0A1D6K1Z1	AF-A0A1P8AVE9-F1-model_v3	AF-A0A1D6K1Z1-F1-model_v3	0.0e+00	1244.6	0.00e+00	2818.27	0.000E+00	6011	platinum
A0A1P8AVJ4	A0A1D6GSZ0	AF-A0A1P8AVJ4-F1-model_v3	AF-A0A1D6GSZ0-F1-model_v3	0.0e+00	1070.8	0.00e+00	2988.88	3.030E-78	5297	platinum
A0A1P8AVN8	A0A1D6PSX0	AF-A0A1P8AVN8-F1-model_v3	AF-A0A1D6PSX0-F1-model_v3	3.1e-57	194.5	1.55e-10	767.32	9.047E-35	1463	platinum
A0A1P8AW47	A0A1D6EWL2	AF-A0A1P8AW47-F1-model_v3	AF-A0A1D6EWL2-F1-model_v3	6.8e-122	364.8	3.77e-14	1023.45	4.716E-49	2273	platinum
A0A1P8AW53	A0A1D6DSZ2	AF-A0A1P8AW53-F1-model_v3	AF-A0A1D6DSZ2-F1-model_v3	5.5e-78	233.0	0.00e+00	533.21	3.765E-22	984	platinum
A0A1P8AW81	A0A096RDK9	AF-A0A1P8AW81-F1-model_v3	AF-A0A096RDK9-F1-model_v3	1.1e-285	805.8	0.00e+00	1922.14	4.590E-102	4539	platinum
A0A1P8AWF3	A0A1D6EH49	AF-A0A1P8AWF3-F1-model_v3	AF-A0A1D6EH49-F1-model_v3	7.8e-234	688.3	3.00e-10	1977.02	3.829E-88	3853	platinum
A0A1P8AWF9	A0A1D6ICP3	AF-A0A1P8AWF9-F1-model_v3	AF-A0A1D6ICP3-F1-model_v3	1.0e-302	855.1	1.22e-15	1855.42	NA	NA	gold
A0A1P8AWP1	C0P427	AF-A0A1P8AWP1-F1-model_v3	AF-C0P427-F1-model_v3	6.0e-218	624.0	NA	NA	1.148E-83	3420	gold
A0A1P8AWR9	A0A1D6QBS1	AF-A0A1P8AWR9-F1-model_v3	AF-A0A1D6QBS1-F1-model_v3	3.3e-76	267.3	2.85e-05	1410.78	6.050E-27	1477	platinum
A0A1P8AX45	A0A1D6NM08	AF-A0A1P8AX45-F1-model_v3	AF-A0A1D6NM08-F1-model_v3	6.4e-187	532.7	0.00e+00	1127.58	5.458E-63	2576	platinum
A0A1P8AX50	A0A1D6NW80	AF-A0A1P8AX50-F1-model_v3	AF-A0A1D6NW80-F1-model_v3	5.6e-215	603.2	0.00e+00	1224.01	3.615E-57	2692	platinum
A0A1P8AX61	A0A1D6GJ62	AF-A0A1P8AX61-F1-model_v3	AF-A0A1D6GJ62-F1-model_v3	2.2e-32	114.4	7.95e-08	375.54	2.595E-16	688	platinum
A0A1P8AXB7	A0A1D6QBR4	AF-A0A1P8AXB7-F1-model_v3	AF-A0A1D6QBR4-F1-model_v3	8.3e-19	77.4	1.82e-09	350.25	NA	NA	gold
A0A1P8AYT1	A0A1D6LBG3	AF-A0A1P8AYT1-F1-model_v3	AF-A0A1D6LBG3-F1-model_v3	2.1e-99	295.4	1.64e-07	648.69	7.690E-31	1183	platinum
A0A1P8AYU7	B4FFD4	AF-A0A1P8AYU7-F1-model_v3	AF-B4FFD4-F1-model_v3	5.1e-36	136.3	8.05e-03	483.04	NA	NA	gold
