Entry	Protein names	Gene Names
G2TRN4	Enhancer of rudimentary homolog 1	erh1 new10 SPAC19G12.17
O00102	Ubiquitin-conjugating enzyme E2-18 kDa, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 7) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	ubc7 ubcp3 SPBP16F5.04
O00103	Ubiquitin-conjugating enzyme E2-20 kDa, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 11) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	ubc11 ubcp4 SPCC1259.15c
O13286	WD repeat-containing protein srw1 (Suppressor of rad/wee1)	srw1 ste9 SPAC144.13c
O13290	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic, DYHC)	dhc1 SPAC1093.06c SPAC30C2.01c
O13298	Histone deacetylase phd1, EC 3.5.1.98	phd1 hda1 SPAC3G9.07c
O13310	Serine/threonine-protein kinase orb6, EC 2.7.11.1	orb6 SPAC821.12
O13326	Homocysteine synthase, EC 2.5.1.49 (O-acetylhomoserine sulfhydrylase, OAH SHL, OAH sulfhydrylase)	met17 cys2 SPBC428.11
O13339	Telomerase reverse transcriptase, EC 2.7.7.49 (Telomerase catalytic subunit)	trt1 SPBC29A3.14c
O13351	Ubiquitin-like protein pmt3/smt3	pmt3 smt3 ubl2 SPBC365.06
O13370	ATP-dependent RNA helicase ded1, EC 3.6.4.13 (Multicopy suppressor of overexpressed cyr1 protein 2)	ded1 dep1 moc2 sum3 SPCC1795.11
O13601	DnaJ-related protein rsp1	rsp1 pi006 SPBC11B10.05c
O13648	Ribosomal protein arginine N-methyltransferase rmt3, EC 2.1.1.-	rmt3 prmt3 SPBC8D2.10c
O13658	Uncharacterized transcriptional regulatory protein C27B12.11c	pi067 SPBC27B12.11c
O13666	Delta(7)-sterol 5(6)-desaturase erg32, EC 1.14.19.20 (C-5 sterol desaturase erg32) (Ergosterol Delta(5,6) desaturase erg32) (Ergosterol biosynthetic protein 32) (Sterol-C5-desaturase erg32)	erg32 pi075 SPBC27B12.03c
O13684	Monopolin complex subunit pcs1 (Chromosome segregation protein 1)	pcs1 SPAC11E3.03
O13685	Ubiquitin-conjugating enzyme E2 13, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 13) (Ubiquitin carrier protein 13) (Ubiquitin-protein ligase 13)	ubc13 spu13 SPAC11E3.04c
O13688	Non-structural maintenance of chromosome element 6, Non-SMC element 6 (Core protein 1)	nse6 cor1 SPAC11E3.08c
O13692	1,3-beta-glucanosyltransferase gas5	gas5 SPAC11E3.13c
O13709	Mitophagy receptor atg43	atg43 SPAC14C4.01c SPAC19D5.08c
O13710	Structural maintenance of chromosomes protein 5 (DNA repair protein spr18) (SMC partner of rad18)	smc5 spr18 SPAC14C4.02c
O13712	Meiotically up-regulated gene 61 protein	mug61 SPAC14C4.05c
O13716	Glucan endo-1,3-alpha-glucosidase agn1, EC 3.2.1.59 (Endo-1,3-alpha-glucanase agn1)	agn1 SPAC14C4.09
O13728	Alpha-actinin-like protein 1	ain1 SPAC15A10.08
O13734	Shugoshin-2	sgo2 SPAC15A10.15
O13736	Actin cytoskeleton-regulatory complex protein sla1	sla1 SPAC16E8.01
O13759	RNA-binding post-transcriptional regulator csx1	csx1 SPAC17A2.09c
O13762	Uncharacterized ATP-dependent helicase C17A2.12, EC 3.6.4.-	SPAC17A2.12
O13766	Zinc metalloprotease mde10, EC 3.4.24.- (Meiotically up-regulated gene 139 protein) (Sporulation protein mde10)	mde10 mug139 SPAC17A5.04c
O13768	General transcription and DNA repair factor IIH helicase subunit XPB, TFIIH subunit XPB, EC 3.6.4.12 (DNA repair helicase ptr8) (Poly(A)+ RNA transport protein 8) (RNA polymerase II transcription factor B subunit ercc3, TFB subunit ercc3)	ptr8 ercc3 SPAC17A5.06
O13788	SWI/SNF and RSC complexes subunit ssr1	ssr1 SPAC17G6.10
O13790	Cullin-1, Cul-1 (Cell division control 53 homolog)	cul1 pcu1 SPAC17G6.12
O13795	La-related protein 7 homolog	pof8 lar7 SPAC17G6.17
O13799	Uncharacterized helicase C17H9.02, EC 3.6.4.-	SPAC17H9.02
O13801	RNA-binding protein involved in heterochromatin assembly dri1 (Dpb4-interacting, RRM, and IDR-containing factor)	dri1 nrp1 SPAC17H9.04c
O13807	DNA damage-binding protein 1 (Damage-specific DNA-binding protein 1)	ddb1 SPAC17H9.10c
O13816	Cohesin subunit psc3 (SCC3 homolog)	psc3 SPAC17H9.20 SPAC607.01
O13820	C-22 sterol desaturase ERG5, EC 1.14.19.41 (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	erg5 cyp61 SPAC19A8.04
O13821	Vacuolar protein sorting-associated protein 27 (Suppressor of ste12 deletion protein 4)	sst4 vps27 SPAC19A8.05c
O13826	E3 ubiquitin-protein ligase complex slx8-rfp subunit rfp1, EC 2.3.2.27 (Meiotically up-regulated gene 140 protein) (RING finger protein 1) (RING-type E3 ubiquitin transferase rfp1)	rfp1 mug140 SPAC19A8.10
O13828	mRNA decapping complex subunit 2, EC 3.-.-.-	dcp2 SPAC19A8.12
O13833	Terminal uridylyltransferase cid1, TUTase cid1, EC 2.7.7.19, EC 2.7.7.52 (Caffeine-induced death protein 1) (Poly(A) polymerase cid1, PAP) (Poly(U) polymerase cid1, PUP)	cid1 SPAC19D5.03
O13836	Decapping nuclease din1, EC 3.6.1.- (Dhp1-interacting protein 1) (NAD-capped RNA hydrolase Rai1, DeNADding enzyme Rai1, spRai1, EC 3.6.1.-)	din1 rai1 SPAC19D5.06c
O13837	4-aminobutyrate aminotransferase, EC 2.6.1.19 (GABA aminotransferase, GABA-AT) (Gamma-amino-N-butyrate transaminase, GABA transaminase)	uga1 SPAC19D5.07
O13838	Nucleoporin nup40 (Nuclear pore protein nup40)	nup40 SPAC19E9.01c
O13839	G2-specific protein kinase fin1, EC 2.7.11.1	fin1 SPAC19E9.02
O13842	Putative polysaccharide deacetylase, EC 3.-.-.- (Chitin deacetylase 1)	cda1 SPAC19G12.03
O13849	Carboxypeptidase Y, CPY, EC 3.4.16.5	cpy1 pcy1 SPAC19G12.10c
O13853	Phosphatidylinositol 4-phosphate 5-kinase its3, EC 2.7.1.68 (1-phosphatidylinositol 4-phosphate kinase) (Diphosphoinositide kinase) (PIP5K) (PtdIns(4)P-5-kinase)	its3 SPAC19G12.14
O13877	DNA-directed RNA polymerases I, II, and III subunit RPABC5, RNA polymerases I, II, and III subunit ABC5 (ABC10-beta) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide) (RPC8)	rpb10 SPAC1B3.12c
O13881	Cryptic loci regulator 2	clr2 SPAC1B3.17
O13889	Eukaryotic translation initiation factor 2-alpha kinase 1, EC 2.7.11.1 (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor 1)	hri1 SPAC20G4.03c
O13898	Dolichyl-phosphate-mannose--protein mannosyltransferase 1, EC 2.4.1.109	ogm1 oma1 SPAC22A12.07c
O13902	Dihydroxyacetone kinase 1, DHA kinase 1, EC 2.7.1.28, EC 2.7.1.29 (Glycerone kinase 1) (Triokinase 1) (Triose kinase 1)	dak1 SPAC22A12.11
O13911	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase, EC 3.1.3.32 (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase, EC 2.7.1.78 ]	pnk1 SPAC23C11.04c
O13915	U6 snRNA phosphodiesterase 1 (3'-5' RNA exonuclease USB1, EC 4.6.1.-) (Mutated in Poikiloderma with Neutropenia protein 1)	usb1 mnp1 SPAC23C11.10
O13917	Hypoxanthine-guanine phosphoribosyltransferase, HGPRT, HGPRTase, EC 2.4.2.8	hpt1 SPAC23C11.13c
O13918	Zinc homeostasis factor 1	zhf1 zhf SPAC23C11.14
O13919	Paired amphipathic helix protein pst2 (SIN3 homolog 2)	pst2 SPAC23C11.15
O13924	Serine/threonine-protein kinase haspin homolog hrk1, EC 2.7.11.1	hrk1 SPAC23C4.03
O13928	GTP-binding protein rho3	rho3 SPAC23C4.08
O13935	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase trm4b, EC 2.1.1.- (tRNA (cytosine-5-)-methyltransferase trm4b)	trm4b SPAC23C4.17
O13936	Transcription elongation factor spt5 (Chromatin elongation factor spt5)	spt5 SPAC23C4.19
O13953	Chromatin modification-related protein eaf3 (Altered polarity protein 13) (ESA1-associated factor 3)	alp13 eaf3 SPAC23H4.12
O13958	Serine/threonine-protein kinase srb10, EC 2.7.11.22, EC 2.7.11.23 (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B srb10)	srb10 cdk8 prk1 SPAC23H4.17c
O13959	RING-box protein pip1, RING-box protein 1 (Pop-interacting protein 1)	pip1 SPAC23H4.18c
O13961	Nuclear envelope protein ndc1 (Cell untimely torn protein 11)	cut11 ndc1 SPAC1786.03 SPAC24C9.01
O13978	Meiotically up-regulated gene 66 protein (Autophagy-related protein 101)	mug66 atg101 SPAC25H1.03
O13983	ATP-dependent helicase hrq1, EC 3.6.4.12 (Homologous to recQ protein 1)	hrq1 SPAC23A1.19c SPAC26H5.01c
O13988	Protection of telomeres protein 1	pot1 SPAC26H5.06
O13995	Cytochrome P450 regulator dap1	dap1 SPAC25B8.01 SPAC26H5.15
O14003	Replication factor C subunit 3, Replication factor C3	rfc3 SPAC27E2.10c SPAPJ698.01c
O14008	Myosin 1 light chain cam2 (Calmodulin-2)	cam2 SPAC29A4.05
O14011	Pre-mRNA-processing factor 19, EC 2.3.2.27 (Complexed with cdc5 protein 8) (RING-type E3 ubiquitin transferase PRP19)	prp19 cwf8 SPAC29A4.08c
O14014	Probable Rho-type GTPase-activating protein 3	rga3 SPAC29A4.11
O14019	Serine/threonine-protein kinase hal4, EC 2.7.11.1 (Halotolerance protein 4) (Serine/threonine-protein kinase ppk10)	hal4 ppk10 sat4 SPAC29A4.16
O14021	RbAp48-related WD40 repeat-containing protein prw1	prw1 SPAC29A4.18
O14022	Cation-transporting ATPase 5, EC 7.2.2.-	cta5 SPAC29A4.19c
O14023	Elongator complex protein 3, EC 2.3.1.- (tRNA uridine(34) acetyltransferase)	elp3 SPAC29A4.20
