Uniprot_arabadopsis	Uniprot_human	AlphaFold_arabadopsis	AlphaFold_human	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178W0K0	Q15631	AF-A0A178W0K0-F1-model_v3	AF-Q15631-F1-model_v3	1.4e-40	141.4	0.00e+00	572.44	3.617E-13	730	platinum
A0A178W3E8	Q8WWQ0	AF-A0A178W3E8-F1-model_v3	AF-Q8WWQ0-F1-model_v3	4.0e-47	186.4	1.27e-05	1730.96	3.480E-60	2721	platinum
A0A178W3G2	P78316	AF-A0A178W3G2-F1-model_v3	AF-P78316-F1-model_v3	2.7e-63	229.9	5.92e-13	1720.42	7.162E-38	2052	platinum
A0A1I9LLP0	Q8WXX5	AF-A0A1I9LLP0-F1-model_v3	AF-Q8WXX5-F1-model_v3	1.9e-34	125.9	5.43e-08	504.46	2.305E-13	628	platinum
A0A1I9LLR6	Q9Y575	AF-A0A1I9LLR6-F1-model_v3	AF-Q9Y575-F1-model_v3	1.6e-04	44.7	NA	NA	NA	NA	silver
A0A1I9LPC5	Q9NZQ0	AF-A0A1I9LPC5-F1-model_v3	AF-Q9NZQ0-F1-model_v3	1.1e-08	57.8	NA	NA	NA	NA	silver
A0A1I9LPW2	Q9C0E2	AF-A0A1I9LPW2-F1-model_v3	AF-Q9C0E2-F1-model_v3	1.0e-104	358.6	0.00e+00	2431.77	7.005E-44	2931	platinum
A0A1I9LQ21	O95427	AF-A0A1I9LQ21-F1-model_v3	AF-O95427-F1-model_v3	1.1e-193	583.2	0.00e+00	2361.20	3.806E-70	3842	platinum
A0A1I9LSL4	Q5SWX8	AF-A0A1I9LSL4-F1-model_v3	AF-Q5SWX8-F1-model_v3	1.8e-18	88.2	2.37e-11	774.91	7.018E-31	1302	platinum
A0A1P8AMK1	Q9NP77	AF-A0A1P8AMK1-F1-model_v3	AF-Q9NP77-F1-model_v3	6.2e-67	204.1	0.00e+00	547.94	1.642E-29	1126	platinum
A0A1P8AP94	P29375	AF-A0A1P8AP94-F1-model_v3	AF-P29375-F1-model_v3	5.9e-109	381.3	1.10e-07	2439.57	9.498E-62	3385	platinum
A0A1P8AP99	Q96FB5	AF-A0A1P8AP99-F1-model_v3	AF-Q96FB5-F1-model_v3	2.7e-34	135.2	0.00e+00	928.93	1.968E-25	1274	platinum
A0A1P8APP1	Q9NPC4	AF-A0A1P8APP1-F1-model_v3	AF-Q9NPC4-F1-model_v3	2.2e-32	125.9	4.84e-11	650.19	1.300E-21	913	platinum
A0A1P8AQE4	Q9NZC9	AF-A0A1P8AQE4-F1-model_v3	AF-Q9NZC9-F1-model_v3	9.2e-109	351.3	2.11e-15	1410.95	NA	NA	gold
A0A1P8ASM6	Q7Z2K6	AF-A0A1P8ASM6-F1-model_v3	AF-Q7Z2K6-F1-model_v3	4.1e-59	218.8	0.00e+00	1849.10	1.010E-50	2760	platinum
A0A1P8ASP4	Q13523	AF-A0A1P8ASP4-F1-model_v3	AF-Q13523-F1-model_v3	4.1e-122	392.9	NA	NA	NA	NA	silver
A0A1P8ASY1	P51530	AF-A0A1P8ASY1-F1-model_v3	AF-P51530-F1-model_v3	1.4e-151	486.1	0.00e+00	2307.63	NA	NA	gold
A0A1P8ATB1	Q86UY6	AF-A0A1P8ATB1-F1-model_v3	AF-Q86UY6-F1-model_v3	3.8e-26	102.8	0.00e+00	566.97	4.524E-23	894	platinum
A0A1P8AU29	Q8NCG7	AF-A0A1P8AU29-F1-model_v3	AF-Q8NCG7-F1-model_v3	4.4e-20	95.1	6.16e-10	1157.57	2.889E-22	1224	platinum
A0A1P8AV25	Q9BX63	AF-A0A1P8AV25-F1-model_v3	AF-Q9BX63-F1-model_v3	5.5e-151	488.0	2.47e-13	2101.34	NA	NA	gold
A0A1P8AVE9	Q14692	AF-A0A1P8AVE9-F1-model_v3	AF-Q14692-F1-model_v3	1.3e-269	797.0	0.00e+00	2570.28	0.000E+00	4782	platinum
A0A1P8AW47	Q6RFH5	AF-A0A1P8AW47-F1-model_v3	AF-Q6RFH5-F1-model_v3	3.7e-27	112.5	6.42e-12	767.95	NA	NA	gold
A0A1P8AW53	Q14691	AF-A0A1P8AW53-F1-model_v3	AF-Q14691-F1-model_v3	4.7e-23	91.7	0.00e+00	475.80	1.927E-14	659	platinum
A0A1P8AWF5	Q86XA0	AF-A0A1P8AWF5-F1-model_v3	AF-Q86XA0-F1-model_v3	7.6e-42	140.6	0.00e+00	428.78	2.653E-19	792	platinum
A0A1P8AX50	Q9UBP0	AF-A0A1P8AX50-F1-model_v3	AF-Q9UBP0-F1-model_v3	1.0e-102	320.5	1.79e-10	1177.58	NA	NA	gold
A0A1P8AZ49	O75629	AF-A0A1P8AZ49-F1-model_v3	AF-O75629-F1-model_v3	8.4e-31	113.2	4.44e-16	504.15	4.993E-20	832	platinum
A0A1P8B1A7	Q86VE9	AF-A0A1P8B1A7-F1-model_v3	AF-Q86VE9-F1-model_v3	5.3e-19	88.6	NA	NA	NA	NA	silver
A0A1P8B3W4	Q9Y4D2	AF-A0A1P8B3W4-F1-model_v3	AF-Q9Y4D2-F1-model_v3	5.3e-17	85.5	NA	NA	NA	NA	silver
A0A1P8B4E4	O75691	AF-A0A1P8B4E4-F1-model_v3	AF-O75691-F8-model_v3	2.6e-76	281.6	NA	NA	5.254E-44	2712	gold
A0A1P8B4P1	Q6AI08	AF-A0A1P8B4P1-F1-model_v3	AF-Q6AI08-F1-model_v3	8.1e-42	167.5	7.23e-13	1913.75	NA	NA	gold
A0A1P8B4Y6	Q13435	AF-A0A1P8B4Y6-F1-model_v3	AF-Q13435-F1-model_v3	6.3e-113	360.9	4.08e-03	909.98	NA	NA	gold
A0A1P8B6F6	Q8N806	AF-A0A1P8B6F6-F1-model_v3	AF-Q8N806-F1-model_v3	1.4e-64	212.6	2.99e-09	758.19	1.749E-28	1161	platinum
A0A1P8B7B4	Q15649	AF-A0A1P8B7B4-F1-model_v3	AF-Q15649-F1-model_v3	1.3e-07	48.9	5.42e-07	289.09	6.299E-08	346	platinum
A0A1P8B7Z9	Q8IZT6	AF-A0A1P8B7Z9-F1-model_v3	AF-Q8IZT6-F4-model_v3	1.8e-39	160.6	6.93e-05	2127.18	3.662E-26	1500	platinum
A0A1P8B9R0	O75175	AF-A0A1P8B9R0-F1-model_v3	AF-O75175-F1-model_v3	3.2e-85	288.5	8.90e-06	1355.06	1.394E-33	1589	platinum
A0A1P8BB81	Q8WV16	AF-A0A1P8BB81-F1-model_v3	AF-Q8WV16-F1-model_v3	4.8e-16	80.9	NA	NA	NA	NA	silver
A0A1P8BFV7	Q96H35	AF-A0A1P8BFV7-F1-model_v3	AF-Q96H35-F1-model_v3	4.9e-23	89.7	4.82e-08	323.54	4.605E-15	573	platinum
A0A1P8BGF0	Q9Y3A4	AF-A0A1P8BGF0-F1-model_v3	AF-Q9Y3A4-F1-model_v3	9.0e-14	70.5	1.47e-02	281.44	NA	NA	gold
A0A2P2CLG4	P03905	AF-A0A2P2CLG4-F1-model_v3	AF-P03905-F1-model_v3	4.7e-57	196.4	0.00e+00	1205.79	2.131E-27	1561	platinum
A0A2P2CLH2	O75306	AF-A0A2P2CLH2-F1-model_v3	AF-O75306-F1-model_v3	5.2e-225	622.9	0.00e+00	1172.02	4.150E-58	2897	platinum
A0JJX5	Q9BQG1	AF-A0JJX5-F1-model_v3	AF-Q9BQG1-F1-model_v3	3.5e-14	75.5	NA	NA	NA	NA	silver
A2RVK7	Q5RKV6	AF-A2RVK7-F1-model_v3	AF-Q5RKV6-F1-model_v3	1.9e-23	95.9	NA	NA	3.919E-27	1088	gold
A3EWL3	Q9UBZ9	AF-A3EWL3-F1-model_v3	AF-Q9UBZ9-F1-model_v3	2.0e-113	381.7	6.06e-06	1678.19	NA	NA	gold
A3KPF3	Q8WYA6	AF-A3KPF3-F1-model_v3	AF-Q8WYA6-F1-model_v3	1.5e-111	342.8	0.00e+00	1327.02	6.337E-31	1885	platinum
A4FVN8	O60508	AF-A4FVN8-F1-model_v3	AF-O60508-F1-model_v3	1.1e-194	557.8	0.00e+00	1297.50	1.076E-65	2902	platinum
A4GSN8	P12270	AF-A4GSN8-F1-model_v3	AF-P12270-F1-model_v3	1.9e-40	165.6	1.23e-09	4498.36	1.196E-36	1250	platinum
A7UL74	Q56NI9	AF-A7UL74-F1-model_v3	AF-Q56NI9-F1-model_v3	2.9e-33	129.8	6.21e-05	558.98	NA	NA	gold
A8MQD8	Q5J8M3	AF-A8MQD8-F1-model_v3	AF-Q5J8M3-F1-model_v3	8.5e-22	87.4	6.53e-06	291.70	1.208E-07	358	platinum
A8MR03	Q9BW85	AF-A8MR03-F1-model_v3	AF-Q9BW85-F1-model_v3	2.6e-59	193.7	1.40e-06	711.90	3.104E-21	920	platinum
A8MR93	Q9BV10	AF-A8MR93-F1-model_v3	AF-Q9BV10-F1-model_v3	1.1e-107	329.3	0.00e+00	1279.75	8.863E-38	2054	platinum
A8MRC1	Q9NWL6	AF-A8MRC1-F1-model_v3	AF-Q9NWL6-F1-model_v3	6.3e-90	291.6	2.22e-16	1114.99	3.047E-47	2247	platinum
A8MS85	Q7KZ85	AF-A8MS85-F1-model_v3	AF-Q7KZ85-F1-model_v3	2.0e-151	507.7	6.60e-09	2894.71	NA	NA	gold
A9LLI7	Q01780	AF-A9LLI7-F1-model_v3	AF-Q01780-F1-model_v3	1.2e-86	295.4	2.04e-06	1264.02	NA	NA	gold
B0F9L4	O60763	AF-B0F9L4-F1-model_v3	AF-O60763-F1-model_v3	1.2e-58	217.6	2.30e-13	1948.72	5.352E-30	1931	platinum
B3DNN5	Q13042	AF-B3DNN5-F1-model_v3	AF-Q13042-F1-model_v3	5.4e-122	372.1	0.00e+00	1327.71	9.694E-34	1950	platinum
B3H5K9	Q8NHV4	AF-B3H5K9-F1-model_v3	AF-Q8NHV4-F1-model_v3	1.7e-41	161.8	1.67e-07	1227.73	NA	NA	gold
B3H6J5	Q9UQ35	AF-B3H6J5-F1-model_v3	AF-Q9UQ35-F1-model_v3	1.4e-20	96.7	2.99e-01	675.63	6.634E-08	339	platinum
B3H6K1	Q7Z7B1	AF-B3H6K1-F1-model_v3	AF-Q7Z7B1-F1-model_v3	4.6e-47	169.1	0.00e+00	985.08	1.082E-20	1227	platinum
