A0A0A7EPL0	O94451	AF-A0A0A7EPL0-F1-model_v3	AF-O94451-F1-model_v3	9.0e-26	111.3	NA	NA	NA	NA	working
A0A1I9LLD6	O59785	AF-A0A1I9LLD6-F1-model_v3	AF-O59785-F1-model_v3	2.5e-56	189.5	NA	NA	NA	NA	working
A0A1P8ARR1	Q9HFF5	AF-A0A1P8ARR1-F1-model_v3	AF-Q9HFF5-F1-model_v3	9.9e-13	69.7	NA	NA	NA	NA	working
A0A1P8AT95	O94387	AF-A0A1P8AT95-F1-model_v3	AF-O94387-F1-model_v3	4.9e-83	302.4	1.02e-10	3220.57	NA	NA	working
A0A1P8AU61	Q9Y7U9	AF-A0A1P8AU61-F1-model_v3	AF-Q9Y7U9-F1-model_v3	3.6e-74	243.4	NA	NA	3.599E-34	1859	working
A0A1P8AU61	Q9UTQ0	AF-A0A1P8AU61-F1-model_v3	AF-Q9UTQ0-F1-model_v3	NA	NA	0.00e+00	1153.16	NA	NA	working
A0A1P8AW96	O59735	AF-A0A1P8AW96-F1-model_v3	AF-O59735-F1-model_v3	3.3e-16	76.3	NA	NA	NA	NA	working
A0A1P8AW96	P78970	AF-A0A1P8AW96-F1-model_v3	AF-P78970-F1-model_v3	NA	NA	NA	NA	8.141E-11	651	working
A0A1P8AX50	Q9P3U2	AF-A0A1P8AX50-F1-model_v3	AF-Q9P3U2-F1-model_v3	5.5e-90	288.5	NA	NA	NA	NA	working
A0A1P8AXU9	Q6LA54	AF-A0A1P8AXU9-F1-model_v3	AF-Q6LA54-F1-model_v3	4.9e-40	157.5	NA	NA	NA	NA	working
A0A1P8B9B1	P87312	AF-A0A1P8B9B1-F1-model_v3	AF-P87312-F1-model_v3	1.9e-128	393.3	NA	NA	2.984E-53	2862	working
A0A2P2CLF9	P24487	AF-A0A2P2CLF9-F1-model_v3	AF-P24487-F1-model_v3	1.6e-237	660.2	NA	NA	NA	NA	working
A8MQW3	O42915	AF-A8MQW3-F1-model_v3	AF-O42915-F1-model_v3	9.4e-61	196.1	NA	NA	8.397E-29	1140	working
A8MR45	P87240	AF-A8MR45-F1-model_v3	AF-P87240-F1-model_v3	9.3e-31	120.2	NA	NA	NA	NA	working
A9LLI7	Q10146	AF-A9LLI7-F1-model_v3	AF-Q10146-F1-model_v3	2.9e-71	248.4	5.77e-08	1298.60	NA	NA	working
B9DFV2	O94264	AF-B9DFV2-F1-model_v3	AF-O94264-F1-model_v3	4.0e-40	152.9	NA	NA	NA	NA	working
B9DHD7	Q10484	AF-B9DHD7-F1-model_v3	AF-Q10484-F1-model_v3	1.0e-17	80.9	1.97e-03	559.57	NA	NA	working
B9DHD7	O60119	AF-B9DHD7-F1-model_v3	AF-O60119-F1-model_v3	NA	NA	NA	NA	2.375E-14	637	working
F4HNZ9	Q9USZ2	AF-F4HNZ9-F1-model_v3	AF-Q9USZ2-F1-model_v3	2.8e-19	91.3	NA	NA	NA	NA	working
F4HPR9	O14305	AF-F4HPR9-F1-model_v3	AF-O14305-F1-model_v3	1.1e-79	259.6	NA	NA	NA	NA	working
