Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178ULY3	B7F8B0	AF-A0A178ULY3-F1-model_v3	AF-B7F8B0-F1-model_v3	5.0e-31	106.3	NA	NA	NA	NA	silver
A0A178US29	Q53M68	AF-A0A178US29-F1-model_v3	AF-Q53M68-F1-model_v3	9.5e-94	305.1	NA	NA	NA	NA	silver
A0A178UWL0	Q7G1Q5	AF-A0A178UWL0-F1-model_v3	AF-Q7G1Q5-F1-model_v3	9.7e-167	482.3	0.00e+00	1105.87	1.428E-58	2569	platinum
A0A178V7N9	A0A0N7KI38	AF-A0A178V7N9-F1-model_v3	AF-A0A0N7KI38-F1-model_v3	4.9e-67	222.2	2.38e-04	701.38	1.278E-26	1113	platinum
A0A178VBJ0	A0A0P0XQP5	AF-A0A178VBJ0-F1-model_v3	AF-A0A0P0XQP5-F1-model_v3	8.7e-160	473.8	6.58e-13	1434.15	NA	NA	gold
A0A178VEK7	Q0JB89	AF-A0A178VEK7-F1-model_v3	AF-Q0JB89-F1-model_v3	6.4e-63	202.2	NA	NA	4.356E-20	803	gold
A0A178VGJ3	A0A0P0WQQ8	AF-A0A178VGJ3-F1-model_v3	AF-A0A0P0WQQ8-F1-model_v3	2.7e-105	326.6	6.90e-10	1107.01	6.073E-41	1773	platinum
A0A178VI87	A0A0P0X710	AF-A0A178VI87-F1-model_v3	AF-A0A0P0X710-F1-model_v3	1.9e-202	571.6	4.01e-14	1024.14	1.207E-62	2515	platinum
A0A178VPF6	Q84QU2	AF-A0A178VPF6-F1-model_v3	AF-Q84QU2-F1-model_v3	2.2e-106	316.2	9.22e-12	657.52	NA	NA	gold
A0A178VR03	Q69QI6	AF-A0A178VR03-F1-model_v3	AF-Q69QI6-F1-model_v3	7.9e-266	736.9	0.00e+00	1383.38	9.831E-74	3293	platinum
A0A178VY62	A0A0P0VLW3	AF-A0A178VY62-F1-model_v3	AF-A0A0P0VLW3-F1-model_v3	1.9e-52	186.8	NA	NA	1.112E-11	677	gold
A0A178W0K0	Q0IXE8	AF-A0A178W0K0-F1-model_v3	AF-Q0IXE8-F1-model_v3	1.5e-118	342.8	0.00e+00	705.59	2.883E-25	1331	platinum
