Uniprot_arabadopsis	Uniprot_soybean	AlphaFold_arabadopsis	AlphaFold_soybean	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178ULY3	C6SZT2	AF-A0A178ULY3-F1-model_v3	AF-C6SZT2-F1-model_v3	1.2e-31	109.4	NA	NA	3.514E-13	519	gold
A0A178UWL0	A0A0R0IAP7	AF-A0A178UWL0-F1-model_v3	AF-A0A0R0IAP7-F1-model_v3	6.9e-197	560.8	0.00e+00	1221.55	5.414E-67	2932	platinum
A0A178UYZ3	K7MDG1	AF-A0A178UYZ3-F1-model_v3	AF-K7MDG1-F1-model_v3	4.7e-14	75.5	5.99e-04	778.84	NA	NA	gold
A0A178V165	I1M7J9	AF-A0A178V165-F1-model_v3	AF-I1M7J9-F1-model_v3	1.8e-192	552.7	0.00e+00	1466.15	1.784E-43	2634	platinum
A0A178VBJ0	I1J8J5	AF-A0A178VBJ0-F1-model_v3	AF-I1J8J5-F1-model_v3	2.9e-224	637.9	3.66e-15	1444.72	4.885E-50	2684	platinum
A0A178VI87	I1KU46	AF-A0A178VI87-F1-model_v3	AF-I1KU46-F1-model_v3	7.3e-258	712.2	2.59e-12	1039.33	1.078E-69	2794	platinum
A0A178VQ59	I1JEJ0	AF-A0A178VQ59-F1-model_v3	AF-I1JEJ0-F1-model_v3	1.4e-57	183.7	NA	NA	2.731E-25	972	gold
A0A178VR03	K7MKA7	AF-A0A178VR03-F1-model_v3	AF-K7MKA7-F1-model_v3	4.7e-295	811.6	0.00e+00	1444.75	1.712E-79	3548	platinum
A0A178VY62	I1K8T2	AF-A0A178VY62-F1-model_v3	AF-I1K8T2-F1-model_v3	0.0e+00	2140.9	0.00e+00	3987.60	0.000E+00	9431	platinum
A0A178W0K0	I1NAA0	AF-A0A178W0K0-F1-model_v3	AF-I1NAA0-F1-model_v3	7.9e-122	351.7	3.39e-12	685.22	4.435E-25	1325	platinum
A0A178W7H0	I1K1E3	AF-A0A178W7H0-F1-model_v3	AF-I1K1E3-F1-model_v3	2.0e-43	137.5	0.00e+00	304.34	1.781E-14	539	platinum
A0A178WDK9	I1JHH0	AF-A0A178WDK9-F1-model_v3	AF-I1JHH0-F1-model_v3	3.3e-37	129.4	NA	NA	NA	NA	silver
A0A178WGK2	K7L752	AF-A0A178WGK2-F1-model_v3	AF-K7L752-F1-model_v3	1.5e-181	514.2	0.00e+00	1123.64	5.383E-44	2280	platinum
