Entry	Protein names	Gene Names
A0A1Z5R261	Serine/threonine-protein kinase TOR, EC 2.7.11.1	SORBI_3009G109200
A8QW53	5-pentadecatrienyl resorcinol O-methyltransferase, EC 2.1.1.n7 (O-methyltransferase 3, SbOMT3)	OMT3 Sb06g000820
P17606	Malate dehydrogenase [NADP] 1, chloroplastic, EC 1.1.1.82 (NADP-MDH-1)	
P52708	P-(S)-hydroxymandelonitrile lyase, HNL, Hydroxynitrile lyase, EC 4.1.2.11 [Cleaved into: P-(S)-hydroxymandelonitrile lyase chain A; P-(S)-hydroxymandelonitrile lyase chain B ]	
P84516	Cationic peroxidase SPC4, EC 1.11.1.7	Sb03g046810
Q94IP1	Trans-cinnamate 4-monooxygenase, EC 1.14.14.91 (Cinnamic acid 4-hydroxylase, C4H, CA4H) (Cinnamic acid 4-hydroxylase 1, SbC4H1) (Cytochrome P450 73A33) (Cytochrome P450C4H)	CYP73A33 C4H C4H1 SORBI_3002G126600
Q9SBL1	Cyanohydrin beta-glucosyltransferase, EC 2.4.1.85 (UDP-glucose-p-hydroxymandelonitrile glucosyltransferase)	UGT85B1 HMNGT
A0A109NDD5	Photosystem II protein D1, PSII D1 protein, EC 1.10.3.9 (Photosystem II Q(B) protein)	psbA SORBI_K037800
A0A109NDJ6	Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 [Includes: Methylthioribulose-1-phosphate dehydratase, MTRu-1-P dehydratase, EC 4.2.1.109; Enolase-phosphatase E1, EC 3.1.3.77 (2,3-diketo-5-methylthio-1-phosphopentane phosphatase) ]	SORBI_3005G110541 SORBI_K019300
A0A194YGM5	UMP-CMP kinase, EC 2.7.4.14 (Deoxycytidylate kinase, CK, dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase, UMP/CMP kinase, UMP/CMPK)	SORBI_3010G007500
A0A1B6Q7W2	Histidine kinase, EC 2.7.13.3	SORBI_3003G407300
A0A1B6QNX6	Mitogen-activated protein kinase, EC 2.7.11.24	SORBI_3001G410100
A0A1B6QQQ9	Catalase, EC 1.11.1.6	SORBI_3001G517700
A0A1Z5R3J0	ATP-dependent 6-phosphofructokinase, ATP-PFK, Phosphofructokinase, EC 2.7.1.11 (Phosphohexokinase)	PFK SORBI_3009G204601
