Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178W3G2	Q99207	AF-A0A178W3G2-F1-model_v3	AF-Q99207-F1-model_v3	1.1e-07	53.5	7.19e-10	1468.54	4.220E-27	1479	platinum
A0A1I9LQ21	P36051	AF-A0A1I9LQ21-F1-model_v3	AF-P36051-F1-model_v3	1.6e-167	513.1	0.00e+00	2329.08	1.181E-65	3589	platinum
A0A1I9LQY7	P38222	AF-A0A1I9LQY7-F1-model_v3	AF-P38222-F1-model_v3	2.2e-23	101.7	NA	NA	5.218E-22	1105	gold
A0A1P8AMK1	P53538	AF-A0A1P8AMK1-F1-model_v3	AF-P53538-F1-model_v3	3.4e-52	165.2	0.00e+00	544.08	5.430E-26	990	platinum
A0A1P8ARI2	P38838	AF-A0A1P8ARI2-F1-model_v3	AF-P38838-F1-model_v3	2.4e-30	116.7	5.01e-06	452.44	4.803E-18	700	platinum
A0A1P8ASY1	P38859	AF-A0A1P8ASY1-F1-model_v3	AF-P38859-F1-model_v3	1.3e-137	456.8	5.56e-13	2469.65	NA	NA	gold
A0A1P8AT95	Q00416	AF-A0A1P8AT95-F1-model_v3	AF-Q00416-F1-model_v3	4.1e-84	306.6	7.07e-08	3228.14	9.146E-68	3804	platinum
A0A1P8AU61	P21269	AF-A0A1P8AU61-F1-model_v3	AF-P21269-F1-model_v3	5.3e-74	245.0	0.00e+00	1144.34	5.239E-34	1852	platinum
A0A1P8AVE9	Q08965	AF-A0A1P8AVE9-F1-model_v3	AF-Q08965-F1-model_v3	2.7e-222	669.5	0.00e+00	2408.14	0.000E+00	4491	platinum
A0A1P8AW47	P53136	AF-A0A1P8AW47-F1-model_v3	AF-P53136-F1-model_v3	4.7e-05	43.5	4.10e-11	660.00	NA	NA	gold
A0A1P8AWF9	P31244	AF-A0A1P8AWF9-F1-model_v3	AF-P31244-F1-model_v3	3.8e-164	496.1	5.84e-14	1670.72	9.456E-72	2951	platinum
A0A1P8AX45	P53980	AF-A0A1P8AX45-F1-model_v3	AF-P53980-F1-model_v3	8.7e-57	193.7	0.00e+00	917.44	1.575E-39	1626	platinum
A0A1P8B4E4	P35194	AF-A0A1P8B4E4-F1-model_v3	AF-P35194-F1-model_v3	3.2e-82	301.2	0.00e+00	5062.53	2.313E-79	4806	platinum
A0A1P8B9R0	P06102	AF-A0A1P8B9R0-F1-model_v3	AF-P06102-F1-model_v3	1.2e-34	140.2	1.21e-03	1070.42	2.261E-18	890	platinum
A0A1P8BBA5	Q05549	AF-A0A1P8BBA5-F1-model_v3	AF-Q05549-F1-model_v3	1.0e-129	422.2	0.00e+00	2191.61	2.366E-76	3605	platinum
A1L4Y4	P38230	AF-A1L4Y4-F1-model_v3	AF-P38230-F1-model_v3	2.6e-62	202.2	0.00e+00	910.44	1.783E-42	1652	platinum
A2RVR7	P30775	AF-A2RVR7-F1-model_v3	AF-P30775-F1-model_v3	7.4e-65	211.5	7.44e-15	1000.23	4.947E-36	1577	platinum
A2RVT9	P53859	AF-A2RVT9-F1-model_v3	AF-P53859-F1-model_v3	5.0e-24	94.0	1.17e-13	415.86	2.806E-18	841	platinum
A3EWL3	P12689	AF-A3EWL3-F1-model_v3	AF-P12689-F1-model_v3	5.2e-47	181.0	7.02e-10	1319.49	6.133E-47	2071	platinum
A4FVN8	P40968	AF-A4FVN8-F1-model_v3	AF-P40968-F1-model_v3	1.0e-86	274.6	0.00e+00	1034.00	2.200E-44	1972	platinum
A4GSN8	Q02455	AF-A4GSN8-F1-model_v3	AF-Q02455-F1-model_v3	1.7e-07	54.7	5.01e-07	4074.22	1.707E-21	746	platinum
A8MQN4	P40986	AF-A8MQN4-F1-model_v3	AF-P40986-F1-model_v3	9.9e-30	120.2	1.00e-11	870.42	3.619E-31	1321	platinum
A8MQS6	P38824	AF-A8MQS6-F1-model_v3	AF-P38824-F1-model_v3	3.9e-08	45.8	1.15e-03	119.92	NA	NA	gold
A8MQW3	P53044	AF-A8MQW3-F1-model_v3	AF-P53044-F1-model_v3	1.3e-57	188.7	1.32e-09	584.85	1.375E-28	1133	platinum
A8MR03	P28320	AF-A8MR03-F1-model_v3	AF-P28320-F1-model_v3	7.7e-25	99.8	1.17e-06	492.25	6.214E-13	575	platinum
A8MR93	P53730	AF-A8MR93-F1-model_v3	AF-P53730-F1-model_v3	3.1e-50	178.3	0.00e+00	1168.35	1.676E-31	1714	platinum
A8MRC1	Q04489	AF-A8MRC1-F1-model_v3	AF-Q04489-F1-model_v3	1.6e-50	181.0	0.00e+00	1042.10	2.555E-35	1687	platinum
A8MRK9	P28000	AF-A8MRK9-F1-model_v3	AF-P28000-F1-model_v3	4.2e-04	36.2	NA	NA	NA	NA	silver
B0F481	P50277	AF-B0F481-F1-model_v3	AF-P50277-F1-model_v3	4.0e-25	107.8	NA	NA	NA	NA	silver
B0F9L4	P25386	AF-B0F9L4-F1-model_v3	AF-P25386-F1-model_v3	3.2e-24	107.8	2.25e-08	1827.25	5.542E-26	1671	platinum
B3DNN5	P09798	AF-B3DNN5-F1-model_v3	AF-P09798-F1-model_v3	9.9e-85	278.5	0.00e+00	1364.56	NA	NA	gold
B3H4I1	Q12466	AF-B3H4I1-F1-model_v3	AF-Q12466-F1-model_v3	2.8e-09	58.5	NA	NA	NA	NA	silver
