A0A1I9LMN9	P00899	AF-A0A1I9LMN9-F1-model_v3	AF-P00899-F1-model_v3	1.9e-90	286.6	NA	NA	NA	NA	working
A0A1I9LRM4	Q07508	AF-A0A1I9LRM4-F1-model_v3	AF-Q07508-F1-model_v3	2.0e-21	91.7	NA	NA	NA	NA	working
A0A1P8AP81	Q03554	AF-A0A1P8AP81-F1-model_v3	AF-Q03554-F1-model_v3	4.9e-16	68.9	NA	NA	NA	NA	working
A0A1P8AP94	P47156	AF-A0A1P8AP94-F1-model_v3	AF-P47156-F1-model_v3	5.8e-78	272.3	NA	NA	3.116E-37	2061	working
A0A1P8AP94	Q03214	AF-A0A1P8AP94-F1-model_v3	AF-Q03214-F1-model_v3	NA	NA	8.36e-06	1798.10	NA	NA	working
A0A1P8AX50	P39955	AF-A0A1P8AX50-F1-model_v3	AF-P39955-F1-model_v3	1.7e-88	288.1	NA	NA	NA	NA	working
A0A1P8AX50	P40328	AF-A0A1P8AX50-F1-model_v3	AF-P40328-F1-model_v3	NA	NA	6.54e-11	1096.25	4.274E-33	1573	working
A0A1P8B7H4	P40580	AF-A0A1P8B7H4-F1-model_v3	AF-P40580-F1-model_v3	3.7e-17	77.8	NA	NA	NA	NA	working
A0A1P8B7H4	P36086	AF-A0A1P8B7H4-F1-model_v3	AF-P36086-F1-model_v3	NA	NA	0.00e+00	565.92	3.444E-20	819	working
A0A1P8B9B1	Q12309	AF-A0A1P8B9B1-F1-model_v3	AF-Q12309-F1-model_v3	1.9e-54	196.4	0.00e+00	1718.57	NA	NA	working
A0A1P8B9I4	P28321	AF-A0A1P8B9I4-F1-model_v3	AF-P28321-F1-model_v3	1.5e-17	80.5	0.00e+00	604.48	NA	NA	working
A0A1P8BAJ1	P47145	AF-A0A1P8BAJ1-F1-model_v3	AF-P47145-F1-model_v3	6.2e-10	57.8	NA	NA	NA	NA	working
A0A2P2CLF0	P00410	AF-A0A2P2CLF0-F1-model_v3	AF-P00410-F1-model_v3	1.7e-91	268.9	NA	NA	1.094E-34	1387	working
A0A2P2CLF9	P07251	AF-A0A2P2CLF9-F1-model_v3	AF-P07251-F1-model_v3	1.7e-233	650.6	NA	NA	NA	NA	working
A0MDQ1	P40554	AF-A0MDQ1-F1-model_v3	AF-P40554-F1-model_v3	7.8e-23	82.8	NA	NA	8.249E-13	490	working
A4GNA8	P53037	AF-A4GNA8-F1-model_v3	AF-P53037-F1-model_v3	7.6e-69	241.1	NA	NA	3.372E-50	2274	working
A8MS41	Q03264	AF-A8MS41-F1-model_v3	AF-Q03264-F1-model_v3	6.2e-19	86.7	NA	NA	NA	NA	working
A9LLI7	Q12149	AF-A9LLI7-F1-model_v3	AF-Q12149-F1-model_v3	1.6e-57	208.8	8.82e-08	1152.01	NA	NA	working
A9X4U2	P53199	AF-A9X4U2-F1-model_v3	AF-P53199-F1-model_v3	2.3e-39	145.2	NA	NA	NA	NA	working
B6EUA9	Q06525	AF-B6EUA9-F1-model_v3	AF-Q06525-F1-model_v3	1.3e-05	46.6	NA	NA	NA	NA	working
B6EUA9	P33203	AF-B6EUA9-F1-model_v3	AF-P33203-F1-model_v3	NA	NA	1.53e-08	1123.35	1.838E-23	1207	working
B9DFS6	Q92331	AF-B9DFS6-F1-model_v3	AF-Q92331-F1-model_v3	9.7e-11	62.4	NA	NA	NA	NA	working
B9DFV2	P35728	AF-B9DFV2-F1-model_v3	AF-P35728-F1-model_v3	3.5e-33	131.7	NA	NA	NA	NA	working
B9DGD6	P52910	AF-B9DGD6-F1-model_v3	AF-P52910-F1-model_v3	5.5e-204	590.1	NA	NA	8.618E-83	3432	working
B9DGD6	Q01574	AF-B9DGD6-F1-model_v3	AF-Q01574-F1-model_v3	NA	NA	0.00e+00	1722.99	NA	NA	working
B9DHA6	P0CH08	AF-B9DHA6-F1-model_v3	AF-P0CH08-F1-model_v3	9.3e-81	231.5	NA	NA	6.172E-27	997	working
B9DHD7	P40075	AF-B9DHD7-F1-model_v3	AF-P40075-F1-model_v3	1.6e-15	73.6	1.53e-04	376.80	NA	NA	working
F4HPR9	P38692	AF-F4HPR9-F1-model_v3	AF-P38692-F1-model_v3	3.9e-72	251.5	NA	NA	NA	NA	working
F4HPR9	P08458	AF-F4HPR9-F1-model_v3	AF-P08458-F1-model_v3	NA	NA	NA	NA	2.706E-26	1230	working
F4HQ07	P53111	AF-F4HQ07-F1-model_v3	AF-P53111-F1-model_v3	1.1e-30	116.7	NA	NA	NA	NA	working
F4HRC0	Q12052	AF-F4HRC0-F1-model_v3	AF-Q12052-F1-model_v3	4.2e-34	129.4	NA	NA	7.346E-21	850	working
F4HRJ4	Q01389	AF-F4HRJ4-F1-model_v3	AF-Q01389-F1-model_v3	3.8e-68	239.2	NA	NA	NA	NA	working
F4HSD4	P38860	AF-F4HSD4-F1-model_v3	AF-P38860-F1-model_v3	7.5e-41	151.8	NA	NA	NA	NA	working
F4HT41	Q03829	AF-F4HT41-F1-model_v3	AF-Q03829-F1-model_v3	4.5e-49	166.8	NA	NA	NA	NA	working
F4HTE0	P14741	AF-F4HTE0-F1-model_v3	AF-P14741-F1-model_v3	6.0e-67	212.6	0.00e+00	773.36	NA	NA	working
F4HTY0	P38334	AF-F4HTY0-F1-model_v3	AF-P38334-F1-model_v3	7.1e-27	96.7	NA	NA	1.513E-12	541	working
F4HW04	P21951	AF-F4HW04-F1-model_v3	AF-P21951-F1-model_v3	0.0e+00	1464.5	0.00e+00	5205.23	NA	NA	working
F4HWD5	P39101	AF-F4HWD5-F1-model_v3	AF-P39101-F1-model_v3	1.9e-38	140.6	NA	NA	NA	NA	working
F4HYF4	P43550	AF-F4HYF4-F1-model_v3	AF-P43550-F1-model_v3	5.5e-97	306.2	0.00e+00	1388.86	NA	NA	working
F4I0Z5	Q03049	AF-F4I0Z5-F1-model_v3	AF-Q03049-F1-model_v3	3.8e-30	116.3	NA	NA	NA	NA	working
F4I181	Q12395	AF-F4I181-F1-model_v3	AF-Q12395-F1-model_v3	1.2e-05	43.1	NA	NA	NA	NA	working
F4I1L3	Q00955	AF-F4I1L3-F1-model_v3	AF-Q00955-F1-model_v3	0.0e+00	1542.7	NA	NA	NA	NA	working
F4I1L3	P32874	AF-F4I1L3-F1-model_v3	AF-P32874-F1-model_v3	NA	NA	0.00e+00	5592.77	0.000E+00	10660	working
F4I1Z0	P41733	AF-F4I1Z0-F1-model_v3	AF-P41733-F1-model_v3	1.5e-20	91.3	NA	NA	1.584E-18	1099	working
F4I420	P39730	AF-F4I420-F1-model_v3	AF-P39730-F1-model_v3	7.3e-220	661.0	7.94e-07	2141.23	NA	NA	working
F4I460	P19524	AF-F4I460-F1-model_v3	AF-P19524-F1-model_v3	6.6e-183	585.9	NA	NA	NA	NA	working
F4I7I0	P52892	AF-F4I7I0-F1-model_v3	AF-P52892-F1-model_v3	2.2e-148	434.1	NA	NA	NA	NA	working
F4I7I0	P52893	AF-F4I7I0-F1-model_v3	AF-P52893-F1-model_v3	NA	NA	NA	NA	4.385E-58	2594	working
F4I8V6	Q02981	AF-F4I8V6-F1-model_v3	AF-Q02981-F1-model_v3	7.8e-66	226.1	NA	NA	NA	NA	working
F4I9Q5	Q06698	AF-F4I9Q5-F1-model_v3	AF-Q06698-F1-model_v3	3.4e-107	371.3	NA	NA	1.458E-58	3119	working
F4IBH5	Q06493	AF-F4IBH5-F1-model_v3	AF-Q06493-F1-model_v3	8.9e-58	201.4	NA	NA	4.536E-21	1132	working
F4IBH5	Q08179	AF-F4IBH5-F1-model_v3	AF-Q08179-F1-model_v3	NA	NA	1.10e-06	1001.66	NA	NA	working
F4ICA0	P53086	AF-F4ICA0-F1-model_v3	AF-P53086-F1-model_v3	1.3e-81	274.6	NA	NA	NA	NA	working
F4ICF4	P53259	AF-F4ICF4-F1-model_v3	AF-P53259-F1-model_v3	1.4e-07	50.4	NA	NA	NA	NA	working
F4ICK8	Q06505	AF-F4ICK8-F1-model_v3	AF-Q06505-F1-model_v3	9.9e-23	98.2	NA	NA	NA	NA	working
F4IDJ0	Q06512	AF-F4IDJ0-F1-model_v3	AF-Q06512-F1-model_v3	1.1e-07	53.1	NA	NA	NA	NA	working
F4IDJ0	Q07896	AF-F4IDJ0-F1-model_v3	AF-Q07896-F1-model_v3	NA	NA	1.16e-09	1212.51	3.877E-25	1475	working
F4IRQ5	P53215	AF-F4IRQ5-F1-model_v3	AF-P53215-F1-model_v3	1.8e-62	203.8	0.00e+00	637.85	NA	NA	working
