Uniprot_arabadopsis	Uniprot_sorghum	AlphaFold_arabadopsis	AlphaFold_sorghum	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178ULY3	C5XJF1	AF-A0A178ULY3-F1-model_v3	AF-C5XJF1-F1-model_v3	1.6e-29	103.6	NA	NA	NA	NA	silver
A0A178US29	A0A1B6PR79	AF-A0A178US29-F1-model_v3	AF-A0A1B6PR79-F1-model_v3	2.2e-160	485.3	0.00e+00	1810.23	7.627E-78	3758	platinum
A0A178UWL0	A0A1B6QM39	AF-A0A178UWL0-F1-model_v3	AF-A0A1B6QM39-F1-model_v3	8.4e-164	474.9	0.00e+00	1105.57	1.665E-59	2610	platinum
A0A178UYZ3	A0A1Z5RKF0	AF-A0A178UYZ3-F1-model_v3	AF-A0A1Z5RKF0-F1-model_v3	2.7e-08	57.0	NA	NA	NA	NA	silver
A0A178VBJ0	A0A1B6QDT9	AF-A0A178VBJ0-F1-model_v3	AF-A0A1B6QDT9-F1-model_v3	6.4e-162	479.6	1.47e-14	1436.29	1.075E-46	2508	platinum
A0A178VEK7	C5YDG5	AF-A0A178VEK7-F1-model_v3	AF-C5YDG5-F1-model_v3	2.4e-60	196.8	NA	NA	1.801E-19	781	gold
A0A178VPF6	C5YK20	AF-A0A178VPF6-F1-model_v3	AF-C5YK20-F1-model_v3	6.3e-105	312.4	8.93e-11	667.25	NA	NA	gold
A0A178VR03	C5XCY6	AF-A0A178VR03-F1-model_v3	AF-C5XCY6-F1-model_v3	1.7e-267	744.2	0.00e+00	1395.07	1.157E-73	3291	platinum
A0A178W0K0	C5X0F4	AF-A0A178W0K0-F1-model_v3	AF-C5X0F4-F1-model_v3	5.4e-110	321.2	0.00e+00	706.11	2.538E-25	1335	platinum
A0A178W3G2	C5WT96	AF-A0A178W3G2-F1-model_v3	AF-C5WT96-F1-model_v3	4.8e-242	704.1	8.68e-14	1943.45	9.744E-61	3244	platinum
A0A178W5Y7	C5XL64	AF-A0A178W5Y7-F1-model_v3	AF-C5XL64-F1-model_v3	1.2e-05	40.0	5.10e-05	147.85	NA	NA	gold
A0A178W7H0	A0A1W0VYG8	AF-A0A178W7H0-F1-model_v3	AF-A0A1W0VYG8-F1-model_v3	6.3e-36	118.6	0.00e+00	304.58	8.032E-13	482	platinum
A0A178WGK2	C5XW44	AF-A0A178WGK2-F1-model_v3	AF-C5XW44-F1-model_v3	1.2e-160	463.0	0.00e+00	1110.66	8.848E-41	2117	platinum
A0A1I9LLT6	C5YLV6	AF-A0A1I9LLT6-F1-model_v3	AF-C5YLV6-F1-model_v3	2.5e-08	50.1	6.65e-02	124.85	NA	NA	gold
A0A1I9LM22	A0A1B6Q7R3	AF-A0A1I9LM22-F1-model_v3	AF-A0A1B6Q7R3-F1-model_v3	6.0e-174	513.1	0.00e+00	1554.86	7.098E-73	3052	platinum
A0A1I9LM38	C5YHT0	AF-A0A1I9LM38-F1-model_v3	AF-C5YHT0-F1-model_v3	1.5e-110	324.3	1.29e-14	726.23	6.904E-37	1454	platinum
A0A1I9LM77	C5XFE3	AF-A0A1I9LM77-F1-model_v3	AF-C5XFE3-F1-model_v3	3.9e-120	359.0	2.91e-08	819.93	6.104E-44	1844	platinum
A0A1I9LMB9	C5WT15	AF-A0A1I9LMB9-F1-model_v3	AF-C5WT15-F1-model_v3	9.4e-36	127.1	0.00e+00	550.26	6.158E-12	623	platinum
A0A1I9LMV6	A0A1B6Q285	AF-A0A1I9LMV6-F1-model_v3	AF-A0A1B6Q285-F1-model_v3	1.4e-100	295.4	0.00e+00	675.79	4.544E-38	1630	platinum
A0A1I9LN01	C5XHY0	AF-A0A1I9LN01-F1-model_v3	AF-C5XHY0-F1-model_v3	6.5e-250	698.4	0.00e+00	1595.04	4.485E-93	3772	platinum
A0A1I9LN21	C5WNN7	AF-A0A1I9LN21-F1-model_v3	AF-C5WNN7-F1-model_v3	8.8e-76	233.0	0.00e+00	616.64	1.043E-33	1309	platinum
A0A1I9LN82	C5Z6R6	AF-A0A1I9LN82-F1-model_v3	AF-C5Z6R6-F1-model_v3	2.1e-185	572.4	NA	NA	2.489E-62	2782	gold
A0A1I9LN87	A0A1B6P7V6	AF-A0A1I9LN87-F1-model_v3	AF-A0A1B6P7V6-F1-model_v3	2.2e-259	765.8	2.22e-15	2269.45	NA	NA	gold
A0A1I9LNB6	A0A1B6QNH8	AF-A0A1I9LNB6-F1-model_v3	AF-A0A1B6QNH8-F1-model_v3	1.6e-152	431.0	2.16e-12	749.37	2.270E-30	1646	platinum
A0A1I9LP47	A0A1B6QP15	AF-A0A1I9LP47-F1-model_v3	AF-A0A1B6QP15-F1-model_v3	1.6e-52	199.9	9.33e-04	1174.55	6.161E-26	1085	platinum
A0A1I9LPE3	A0A1B6Q8Z7	AF-A0A1I9LPE3-F1-model_v3	AF-A0A1B6Q8Z7-F1-model_v3	0.0e+00	1066.6	0.00e+00	2404.61	NA	NA	gold
A0A1I9LPW2	C5WYG0	AF-A0A1I9LPW2-F1-model_v3	AF-C5WYG0-F1-model_v3	0.0e+00	1194.5	0.00e+00	3051.12	2.000E-82	5421	platinum
A0A1I9LPY5	A0A194YIA6	AF-A0A1I9LPY5-F1-model_v3	AF-A0A194YIA6-F1-model_v3	2.0e-15	74.7	4.44e-16	619.66	7.610E-07	250	platinum
A0A1I9LQ21	C5XVS4	AF-A0A1I9LQ21-F1-model_v3	AF-C5XVS4-F1-model_v3	0.0e+00	1306.6	0.00e+00	2638.53	0.000E+00	5932	platinum
A0A1I9LQ26	A0A1B6QGZ0	AF-A0A1I9LQ26-F1-model_v3	AF-A0A1B6QGZ0-F1-model_v3	4.2e-12	57.4	NA	NA	NA	NA	silver
A0A1I9LQ55	A0A194YQX6	AF-A0A1I9LQ55-F1-model_v3	AF-A0A194YQX6-F1-model_v3	2.0e-104	308.1	0.00e+00	809.59	2.809E-40	1636	platinum
A0A1I9LQ94	A0A1Z5R209	AF-A0A1I9LQ94-F1-model_v3	AF-A0A1Z5R209-F1-model_v3	2.7e-45	151.8	9.47e-13	474.57	2.465E-17	692	platinum
A0A1I9LQA1	C5YHF5	AF-A0A1I9LQA1-F1-model_v3	AF-C5YHF5-F1-model_v3	1.4e-64	198.4	6.22e-13	469.22	1.036E-15	718	platinum
A0A1I9LQC2	A0A1W0VTL3	AF-A0A1I9LQC2-F1-model_v3	AF-A0A1W0VTL3-F1-model_v3	7.2e-226	646.0	0.00e+00	1558.65	3.063E-76	3233	platinum
A0A1I9LQF4	A0A194YTR3	AF-A0A1I9LQF4-F1-model_v3	AF-A0A194YTR3-F1-model_v3	0.0e+00	1446.4	0.00e+00	2834.61	0.000E+00	7113	platinum
A0A1I9LQG9	A0A1B6QP97	AF-A0A1I9LQG9-F1-model_v3	AF-A0A1B6QP97-F1-model_v3	3.2e-72	217.6	0.00e+00	403.11	1.539E-23	1042	platinum
A0A1I9LQY7	A0A1W0W0R4	AF-A0A1I9LQY7-F1-model_v3	AF-A0A1W0W0R4-F1-model_v3	7.9e-116	348.6	4.29e-14	899.09	3.207E-35	1743	platinum
A0A1I9LR23	A0A1Z5S663	AF-A0A1I9LR23-F1-model_v3	AF-A0A1Z5S663-F1-model_v3	1.7e-254	702.2	0.00e+00	1287.39	5.333E-81	3390	platinum
A0A1I9LR82	C5Z2L5	AF-A0A1I9LR82-F1-model_v3	AF-C5Z2L5-F1-model_v3	2.1e-53	177.2	1.53e-06	554.56	1.605E-18	750	platinum
A0A1I9LR96	C5WTU0	AF-A0A1I9LR96-F1-model_v3	AF-C5WTU0-F1-model_v3	4.1e-34	122.9	2.60e-02	232.96	NA	NA	gold
A0A1I9LRA7	A0A1Z5SB65	AF-A0A1I9LRA7-F1-model_v3	AF-A0A1Z5SB65-F1-model_v3	5.2e-48	156.0	NA	NA	NA	NA	silver
A0A1I9LRT3	C5XJ97	AF-A0A1I9LRT3-F1-model_v3	AF-C5XJ97-F1-model_v3	1.6e-138	398.3	1.15e-14	835.37	NA	NA	gold
A0A1I9LS02	C5YP68	AF-A0A1I9LS02-F1-model_v3	AF-C5YP68-F1-model_v3	4.5e-68	202.2	3.89e-10	284.14	5.476E-12	541	platinum
A0A1I9LS40	C5WVS2	AF-A0A1I9LS40-F1-model_v3	AF-C5WVS2-F1-model_v3	4.2e-109	335.9	NA	NA	2.109E-39	1708	gold
A0A1I9LSL4	C5YLC5	AF-A0A1I9LSL4-F1-model_v3	AF-C5YLC5-F1-model_v3	8.9e-104	320.9	0.00e+00	1059.39	6.466E-52	2148	platinum
A0A1I9LSP3	C5XCP5	AF-A0A1I9LSP3-F1-model_v3	AF-C5XCP5-F1-model_v3	1.3e-48	159.8	NA	NA	7.680E-19	801	gold
A0A1I9LT08	A0A1B6QKI4	AF-A0A1I9LT08-F1-model_v3	AF-A0A1B6QKI4-F1-model_v3	2.4e-22	94.4	NA	NA	2.801E-06	251	gold
A0A1I9LTS6	A0A1B6QAM8	AF-A0A1I9LTS6-F1-model_v3	AF-A0A1B6QAM8-F1-model_v3	0.0e+00	1285.8	0.00e+00	2353.75	0.000E+00	6270	platinum
A0A1P8AM23	C5X379	AF-A0A1P8AM23-F1-model_v3	AF-C5X379-F1-model_v3	1.4e-179	529.3	0.00e+00	1653.29	3.003E-74	3091	platinum
A0A1P8AMK1	C5YSM7	AF-A0A1P8AMK1-F1-model_v3	AF-C5YSM7-F1-model_v3	3.1e-104	298.9	0.00e+00	559.69	1.210E-35	1349	platinum
A0A1P8ANP5	C5WW23	AF-A0A1P8ANP5-F1-model_v3	AF-C5WW23-F1-model_v3	5.5e-33	136.7	2.28e-02	1045.53	5.111E-24	865	platinum
A0A1P8AP81	C5XX64	AF-A0A1P8AP81-F1-model_v3	AF-C5XX64-F1-model_v3	1.5e-55	171.8	4.44e-16	367.23	1.221E-11	582	platinum
A0A1P8AP99	C5YRU7	AF-A0A1P8AP99-F1-model_v3	AF-C5YRU7-F1-model_v3	2.2e-166	483.0	0.00e+00	1225.41	1.668E-50	2460	platinum
A0A1P8APD7	A0A194YR82	AF-A0A1P8APD7-F1-model_v3	AF-A0A194YR82-F1-model_v3	3.7e-41	139.4	3.39e-04	329.19	1.876E-09	350	platinum
A0A1P8APM3	C5YB79	AF-A0A1P8APM3-F1-model_v3	AF-C5YB79-F1-model_v3	1.4e-112	325.1	NA	NA	3.588E-24	1315	gold
A0A1P8APV0	A0A1Z5S6V5	AF-A0A1P8APV0-F1-model_v3	AF-A0A1Z5S6V5-F1-model_v3	1.7e-187	555.8	3.33e-16	1688.89	4.714E-58	3142	platinum
A0A1P8APW5	Q8LJZ5	AF-A0A1P8APW5-F1-model_v3	AF-Q8LJZ5-F1-model_v3	2.4e-105	307.8	0.00e+00	755.21	1.603E-26	1433	platinum
A0A1P8APX1	A0A194YHY6	AF-A0A1P8APX1-F1-model_v3	AF-A0A194YHY6-F1-model_v3	4.0e-191	596.7	1.86e-06	1895.30	NA	NA	gold
A0A1P8AQ71	A0A1Z5RAY3	AF-A0A1P8AQ71-F1-model_v3	AF-A0A1Z5RAY3-F1-model_v3	1.2e-317	876.3	NA	NA	NA	NA	silver
A0A1P8AQE4	C5X3A8	AF-A0A1P8AQE4-F1-model_v3	AF-C5X3A8-F1-model_v3	1.9e-290	812.4	0.00e+00	1752.57	1.488E-91	3903	platinum
A0A1P8AQJ5	A0A1B6PN60	AF-A0A1P8AQJ5-F1-model_v3	AF-A0A1B6PN60-F1-model_v3	1.8e-69	218.0	NA	NA	1.751E-16	769	gold
A0A1P8AQU0	A0A194YRC5	AF-A0A1P8AQU0-F1-model_v3	AF-A0A194YRC5-F1-model_v3	1.2e-90	268.1	0.00e+00	601.99	8.482E-29	1196	platinum
A0A1P8ARI2	A0A194YHR8	AF-A0A1P8ARI2-F1-model_v3	AF-A0A194YHR8-F1-model_v3	4.6e-114	339.3	4.23e-08	775.77	NA	NA	gold
A0A1P8ASB9	A0A1B6QNE9	AF-A0A1P8ASB9-F1-model_v3	AF-A0A1B6QNE9-F1-model_v3	0.0e+00	976.9	0.00e+00	2520.27	0.000E+00	5799	platinum
A0A1P8ASE3	A0A1W0VRU6	AF-A0A1P8ASE3-F1-model_v3	AF-A0A1W0VRU6-F1-model_v3	1.1e-85	256.5	NA	NA	1.541E-32	1301	gold
A0A1P8ASM6	A0A1B6QAJ1	AF-A0A1P8ASM6-F1-model_v3	AF-A0A1B6QAJ1-F1-model_v3	2.3e-282	801.6	0.00e+00	1960.54	3.313E-77	4160	platinum
