A0A178V165	A0A1D6KJH6	AF-A0A178V165-F1-model_v3	AF-A0A1D6KJH6-F1-model_v3	7.2e-126	384.8	NA	NA	NA	NA	working
A0A178V7N9	A0A1D6L5U6	AF-A0A178V7N9-F1-model_v3	AF-A0A1D6L5U6-F1-model_v3	4.8e-63	205.3	NA	NA	NA	NA	working
A0A178V7N9	A0A1D6QKL9	AF-A0A178V7N9-F1-model_v3	AF-A0A1D6QKL9-F1-model_v3	NA	NA	9.22e-06	733.26	NA	NA	working
A0A178VEK7	A0A1D6E421	AF-A0A178VEK7-F1-model_v3	AF-A0A1D6E421-F1-model_v3	5.4e-63	202.6	NA	NA	NA	NA	working
A0A178VEK7	A0A1D6JD85	AF-A0A178VEK7-F1-model_v3	AF-A0A1D6JD85-F1-model_v3	NA	NA	NA	NA	9.844E-19	759	working
A0A178VGJ3	A0A1D6QHP0	AF-A0A178VGJ3-F1-model_v3	AF-A0A1D6QHP0-F1-model_v3	1.2e-102	315.5	2.13e-10	865.13	NA	NA	working
A0A178VGJ3	K7UA32	AF-A0A178VGJ3-F1-model_v3	AF-K7UA32-F1-model_v3	NA	NA	NA	NA	2.112E-29	1298	working
A0A178VQ59	A0A1D6KWQ4	AF-A0A178VQ59-F1-model_v3	AF-A0A1D6KWQ4-F1-model_v3	1.7e-36	129.0	NA	NA	2.257E-21	834	working
A0A1I9LLP0	C0HDZ7	AF-A0A1I9LLP0-F1-model_v3	AF-C0HDZ7-F1-model_v3	1.0e-104	307.0	NA	NA	NA	NA	working
A0A1I9LN21	A0A1D6PMN2	AF-A0A1I9LN21-F1-model_v3	AF-A0A1D6PMN2-F1-model_v3	6.2e-40	139.8	NA	NA	2.624E-17	705	working
A0A1I9LP30	B4FV12	AF-A0A1I9LP30-F1-model_v3	AF-B4FV12-F1-model_v3	4.9e-26	93.6	NA	NA	NA	NA	working
A0A1I9LP30	B6SZZ6	AF-A0A1I9LP30-F1-model_v3	AF-B6SZZ6-F1-model_v3	NA	NA	9.17e-12	280.04	3.509E-09	415	working
A0A1I9LQ55	C0HDZ8	AF-A0A1I9LQ55-F1-model_v3	AF-C0HDZ8-F1-model_v3	3.8e-105	309.3	NA	NA	NA	NA	working
A0A1I9LQ55	K7TY10	AF-A0A1I9LQ55-F1-model_v3	AF-K7TY10-F1-model_v3	NA	NA	0.00e+00	812.12	NA	NA	working
A0A1I9LQ55	Q5GAU6	AF-A0A1I9LQ55-F1-model_v3	AF-Q5GAU6-F1-model_v3	NA	NA	NA	NA	2.743E-39	1603	working
A0A1I9LQ94	A0A1D6M292	AF-A0A1I9LQ94-F1-model_v3	AF-A0A1D6M292-F1-model_v3	3.0e-45	149.8	6.02e-11	445.45	NA	NA	working
A0A1I9LQF4	A0A096QNN6	AF-A0A1I9LQF4-F1-model_v3	AF-A0A096QNN6-F1-model_v3	0.0e+00	1435.6	NA	NA	0.000E+00	7194	working
A0A1I9LQF4	K7V0J1	AF-A0A1I9LQF4-F1-model_v3	AF-K7V0J1-F1-model_v3	NA	NA	0.00e+00	2875.63	NA	NA	working
A0A1I9LRJ3	B6TT66	AF-A0A1I9LRJ3-F1-model_v3	AF-B6TT66-F1-model_v3	5.4e-11	58.5	NA	NA	NA	NA	working
A0A1I9LRJ3	K7US96	AF-A0A1I9LRJ3-F1-model_v3	AF-K7US96-F1-model_v3	NA	NA	5.47e-05	278.20	1.758E-04	214	working
A0A1I9LRT3	A0A1D6N0H0	AF-A0A1I9LRT3-F1-model_v3	AF-A0A1D6N0H0-F1-model_v3	1.6e-135	390.6	1.11e-16	812.45	NA	NA	working
A0A1I9LRT3	A0A1D6G3Z5	AF-A0A1I9LRT3-F1-model_v3	AF-A0A1D6G3Z5-F1-model_v3	NA	NA	NA	NA	1.723E-43	1797	working
A0A1I9LS02	A0A1D6PPY4	AF-A0A1I9LS02-F1-model_v3	AF-A0A1D6PPY4-F1-model_v3	7.6e-67	199.1	NA	NA	NA	NA	working
A0A1I9LS02	A0A1D6LF90	AF-A0A1I9LS02-F1-model_v3	AF-A0A1D6LF90-F1-model_v3	NA	NA	1.93e-08	317.54	6.841E-12	543	working
A0A1I9LS88	B4G0U5	AF-A0A1I9LS88-F1-model_v3	AF-B4G0U5-F1-model_v3	2.7e-219	617.5	NA	NA	5.639E-55	2896	working
A0A1I9LSC0	A0A1Q0ZFB6	AF-A0A1I9LSC0-F1-model_v3	AF-A0A1Q0ZFB6-F1-model_v3	1.2e-61	203.8	NA	NA	NA	NA	working
A0A1I9LSC0	A0A1D6PKL9	AF-A0A1I9LSC0-F1-model_v3	AF-A0A1D6PKL9-F1-model_v3	NA	NA	NA	NA	5.049E-24	1010	working
