Uniprot_arabadopsis	Uniprot_arabadopsis	AlphaFold_arabadopsis	AlphaFold_arabadopsis	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
A0A178UQA6	A0A1P8B8P6	AF-A0A178UQA6-F1-model_v3	AF-A0A1P8B8P6-F1-model_v3	1.6e-81	245.7	0.00e+00	631.32	7.781E-32	1229	platinum
A0A178UXH8	Q8H1G4	AF-A0A178UXH8-F1-model_v3	AF-Q8H1G4-F1-model_v3	1.0e-289	788.5	0.00e+00	1224.90	2.804E-85	3421	platinum
A0A178VGS0	Q5XF13	AF-A0A178VGS0-F1-model_v3	AF-Q5XF13-F1-model_v3	2.0e-95	280.8	3.46e-10	527.13	2.061E-20	910	platinum
A0A178VM33	F4KB79	AF-A0A178VM33-F1-model_v3	AF-F4KB79-F1-model_v3	3.6e-16	67.4	3.62e-03	125.35	NA	NA	gold
A0A1I9LLC5	P93750	AF-A0A1I9LLC5-F1-model_v3	AF-P93750-F1-model_v3	0.0e+00	1216.1	2.32e-07	2135.51	1.429E-88	4228	platinum
A0A1I9LLD2	F4KDK4	AF-A0A1I9LLD2-F1-model_v3	AF-F4KDK4-F1-model_v3	1.2e-49	173.3	3.95e-09	762.37	2.389E-18	983	platinum
A0A1I9LLM0	F4K567	AF-A0A1I9LLM0-F1-model_v3	AF-F4K567-F1-model_v3	5.1e-143	418.3	2.35e-13	1061.12	5.847E-46	1974	platinum
A0A1I9LMM7	Q7XJ61	AF-A0A1I9LMM7-F1-model_v3	AF-Q7XJ61-F1-model_v3	1.3e-85	246.1	0.00e+00	381.45	1.653E-17	811	platinum
A0A1I9LNH8	O80720	AF-A0A1I9LNH8-F1-model_v3	AF-O80720-F1-model_v3	1.3e-76	230.7	0.00e+00	580.85	9.153E-19	1019	platinum
A0A1I9LNT0	A0A1P8ATA8	AF-A0A1I9LNT0-F1-model_v3	AF-A0A1P8ATA8-F1-model_v3	2.20e-01	49.28	2.20e-01	49.28	NA	NA	gold
A0A1I9LP52	Q8GXE7	AF-A0A1I9LP52-F1-model_v3	AF-Q8GXE7-F1-model_v3	2.1e-16	65.1	9.91e-07	129.75	NA	NA	gold
A0A1I9LPW1	A0A1P8BCA0	AF-A0A1I9LPW1-F1-model_v3	AF-A0A1P8BCA0-F1-model_v3	9.9e-09	47.4	4.14e-04	151.49	NA	NA	gold
A0A1I9LPY5	F4I9I9	AF-A0A1I9LPY5-F1-model_v3	AF-F4I9I9-F1-model_v3	1.9e-10	58.2	5.15e-06	374.69	NA	NA	gold
A0A1I9LQ94	Q9FHC1	AF-A0A1I9LQ94-F1-model_v3	AF-Q9FHC1-F1-model_v3	1.6e-49	160.6	8.89e-13	431.59	3.271E-19	759	platinum
A0A1I9LRA7	Q9M9T9	AF-A0A1I9LRA7-F1-model_v3	AF-Q9M9T9-F1-model_v3	3.2e-36	126.7	4.61e-08	376.24	4.670E-16	635	platinum
A0A1I9LRJ3	Q9FMJ3	AF-A0A1I9LRJ3-F1-model_v3	AF-Q9FMJ3-F1-model_v3	1.2e-09	55.8	6.28e-05	343.70	1.080E-07	319	platinum
A0A1I9LSH4	B3H6N4	AF-A0A1I9LSH4-F1-model_v3	AF-B3H6N4-F1-model_v3	2.3e-92	277.3	1.33e-04	496.12	NA	NA	gold
A0A1I9LSU7	Q93XY4	AF-A0A1I9LSU7-F1-model_v3	AF-Q93XY4-F1-model_v3	6.2e-35	131.7	3.72e-02	378.93	1.806E-12	506	platinum
A0A1I9LSZ8	A0A1P8BG20	AF-A0A1I9LSZ8-F1-model_v3	AF-A0A1P8BG20-F1-model_v3	5.2e-18	80.9	1.61e-02	265.55	4.155E-05	226	platinum
A0A1I9LT45	A0A1P8BH06	AF-A0A1I9LT45-F1-model_v3	AF-A0A1P8BH06-F1-model_v3	5.3e-18	72.4	3.40e-10	167.45	5.402E-06	275	platinum
A0A1P8AM75	O81515	AF-A0A1P8AM75-F1-model_v3	AF-O81515-F1-model_v3	7.4e-18	79.7	2.02e-01	164.87	NA	NA	gold
A0A1P8AM80	Q6AWV5	AF-A0A1P8AM80-F1-model_v3	AF-Q6AWV5-F1-model_v3	4.5e-24	90.1	1.30e-06	257.77	3.202E-06	242	platinum
A0A1P8ANQ6	Q93XX0	AF-A0A1P8ANQ6-F1-model_v3	AF-Q93XX0-F1-model_v3	1.8e-173	485.7	1.11e-16	875.14	1.140E-30	1602	platinum
A0A1P8ANT2	Q56YI8	AF-A0A1P8ANT2-F1-model_v3	AF-Q56YI8-F1-model_v3	1.7e-25	87.0	1.00e-04	95.49	NA	NA	gold
A0A1P8AP59	Q6NKR3	AF-A0A1P8AP59-F1-model_v3	AF-Q6NKR3-F1-model_v3	2.6e-112	322.0	7.26e-09	510.25	2.244E-18	638	platinum
A0A1P8AP82	F4HYM3	AF-A0A1P8AP82-F1-model_v3	AF-F4HYM3-F1-model_v3	5.2e-12	60.8	9.03e-04	242.11	NA	NA	gold
A0A1P8API0	Q9LJR0	AF-A0A1P8API0-F1-model_v3	AF-Q9LJR0-F1-model_v3	2.1e-90	259.2	2.26e-09	362.04	2.458E-15	661	platinum
A0A1P8APY9	Q9LIM3	AF-A0A1P8APY9-F1-model_v3	AF-Q9LIM3-F1-model_v3	1.0e-58	195.3	1.42e-02	494.01	9.568E-11	401	platinum
A0A1P8AQV9	Q84VZ6	AF-A0A1P8AQV9-F1-model_v3	AF-Q84VZ6-F1-model_v3	2.2e-114	325.9	0.00e+00	593.11	1.150E-31	1333	platinum
A0A1P8AR64	Q58CN2	AF-A0A1P8AR64-F1-model_v3	AF-Q58CN2-F1-model_v3	1.7e-09	54.7	2.32e-01	102.47	NA	NA	gold
A0A1P8ARQ4	A0A1P8B2D2	AF-A0A1P8ARQ4-F1-model_v3	AF-A0A1P8B2D2-F1-model_v3	2.9e-23	85.1	5.25e-05	176.44	8.320E-06	203	platinum
A0A1P8AS88	A0A1P8B4V1	AF-A0A1P8AS88-F1-model_v3	AF-A0A1P8B4V1-F1-model_v3	5.32e-01	81.05	5.32e-01	81.05	NA	NA	gold
A0A1P8ATX8	A0A1P8B8X3	AF-A0A1P8ATX8-F1-model_v3	AF-A0A1P8B8X3-F1-model_v3	8.9e-16	70.1	2.98e-02	145.36	NA	NA	gold
A0A1P8AUR6	A0A1P8BBA7	AF-A0A1P8AUR6-F1-model_v3	AF-A0A1P8BBA7-F1-model_v3	1.9e-50	153.7	9.04e-06	176.23	1.104E-08	376	platinum
A0A1P8AUV6	Q0WPZ0	AF-A0A1P8AUV6-F1-model_v3	AF-Q0WPZ0-F1-model_v3	0.0e+00	1578.1	0.00e+00	2470.97	1.754E-102	5797	platinum
A0A1P8AVP6	A0A1P8AVU4	AF-A0A1P8AVP6-F1-model_v3	AF-A0A1P8AVU4-F1-model_v3	1.5e-18	71.2	6.74e-04	120.65	NA	NA	gold
A0A1P8AW30	Q9LQ39	AF-A0A1P8AW30-F1-model_v3	AF-Q9LQ39-F1-model_v3	8.2e-37	117.9	9.35e-09	196.39	2.680E-12	471	platinum
A0A1P8AW93	Q5XVF0	AF-A0A1P8AW93-F1-model_v3	AF-Q5XVF0-F1-model_v3	4.69e-01	142.27	4.69e-01	142.27	NA	NA	gold
